"","MNspinning","INsplitSpin","chaeMech","INsplitBronto","INsplitPB","spinGland","PB","INdescLuqinPDF"
"MNspinning",0,13,8,2,9,124,6,0
"INsplitSpin",0,0,0,0,0,0,1,0
"chaeMech",29,7,71,45,2,0,10,1
"INsplitBronto",20,1,1,0,1,0,2,0
"INsplitPB",16,1,3,0,60,2,9,0
"spinGland",0,0,0,0,0,0,0,0
"PB",23,1,9,0,206,1,48,0
"INdescLuqinPDF",10,0,0,0,0,0,0,0
