"region"	"celltype"	"number"	"ANNOT"	"sum_cells"
"452"	"peristomium"	"MUSmed"	0	"muscle"	2
"453"	"sg0"	"MUStri"	0	"muscle"	2
"454"	"sg0"	"MUSmed"	0	"muscle"	2
"455"	"sg1"	"MUStri"	0	"muscle"	2
"456"	"sg1"	"MUSmed"	0	"muscle"	2
"457"	"sg2"	"MUStri"	0	"muscle"	2
"458"	"sg2"	"MUSmed"	0	"muscle"	2
"459"	"sg3"	"MUStri"	0	"muscle"	2
"460"	"sg3"	"MUSmed"	0	"muscle"	2
"461"	"pyg"	"MUStri"	0	"muscle"	2
"462"	"pyg"	"MUSmed"	0	"muscle"	2
"463"	"head"	"MUSring-pyg"	0	"muscle"	1
"464"	"head"	"MUSpx"	1	"muscle"	1
"465"	"head"	"MUSpr-vt"	1	"muscle"	1
"466"	"peristomium"	"MUSring-pyg"	0	"muscle"	1
"467"	"peristomium"	"MUSpx"	0	"muscle"	1
"468"	"peristomium"	"MUSpr-vt"	0	"muscle"	1
"469"	"sg0"	"MUSring-pyg"	0	"muscle"	1
"470"	"sg0"	"MUSpx"	0	"muscle"	1
"471"	"sg0"	"MUSpr-vt"	0	"muscle"	1
"472"	"sg1"	"MUSring-pyg"	0	"muscle"	1
"473"	"sg1"	"MUSpx"	0	"muscle"	1
"474"	"sg1"	"MUSpr-vt"	0	"muscle"	1
"475"	"sg2"	"MUSring-pyg"	0	"muscle"	1
"476"	"sg2"	"MUSpx"	0	"muscle"	1
"477"	"sg2"	"MUSpr-vt"	0	"muscle"	1
"478"	"sg3"	"MUSring-pyg"	0	"muscle"	1
"479"	"sg3"	"MUSpx"	0	"muscle"	1
"480"	"sg3"	"MUSpr-vt"	0	"muscle"	1
"481"	"pyg"	"MUSring-pyg"	1	"muscle"	1
"482"	"pyg"	"MUSpx"	0	"muscle"	1
"483"	"pyg"	"MUSpr-vt"	0	"muscle"	1
"484"	"head"	"EC"	228	"other"	1115
"485"	"peristomium"	"EC"	21	"other"	1115
"486"	"sg0"	"EC"	75	"other"	1115
"487"	"sg1"	"EC"	188	"other"	1115
"488"	"sg2"	"EC"	203	"other"	1115
"489"	"sg3"	"EC"	242	"other"	1115
"490"	"pyg"	"EC"	158	"other"	1115
"491"	"head"	"chaeta"	0	"other"	106
"492"	"peristomium"	"chaeta"	0	"other"	106
"493"	"sg0"	"chaeta"	0	"other"	106
"494"	"sg1"	"chaeta"	30	"other"	106
"495"	"sg2"	"chaeta"	40	"other"	106
"496"	"sg3"	"chaeta"	36	"other"	106
"497"	"pyg"	"chaeta"	0	"other"	106
"498"	"head"	"coelothelium"	1	"other"	94
"499"	"peristomium"	"coelothelium"	3	"other"	94
"500"	"sg0"	"coelothelium"	6	"other"	94
"501"	"sg1"	"coelothelium"	16	"other"	94
"502"	"sg2"	"coelothelium"	27	"other"	94
"503"	"sg3"	"coelothelium"	41	"other"	94
"504"	"pyg"	"coelothelium"	0	"other"	94
"505"	"head"	"ECmidline"	0	"other"	46
"506"	"peristomium"	"ECmidline"	0	"other"	46
"507"	"sg0"	"ECmidline"	0	"other"	46
"508"	"sg1"	"ECmidline"	15	"other"	46
"509"	"sg2"	"ECmidline"	15	"other"	46
"510"	"sg3"	"ECmidline"	12	"other"	46
"511"	"pyg"	"ECmidline"	4	"other"	46
"512"	"head"	"flat-glia"	5	"other"	21
"513"	"head"	"meso"	0	"other"	21
"514"	"peristomium"	"flat-glia"	0	"other"	21
"515"	"peristomium"	"meso"	0	"other"	21
"516"	"sg0"	"flat-glia"	2	"other"	21
"517"	"sg0"	"meso"	0	"other"	21
"518"	"sg1"	"flat-glia"	4	"other"	21
"519"	"sg1"	"meso"	0	"other"	21
"520"	"sg2"	"flat-glia"	6	"other"	21
"521"	"sg2"	"meso"	0	"other"	21
"522"	"sg3"	"flat-glia"	4	"other"	21
"523"	"sg3"	"meso"	0	"other"	21
"524"	"pyg"	"flat-glia"	0	"other"	21
"525"	"pyg"	"meso"	21	"other"	21
"526"	"head"	"nephridium"	0	"other"	14
"527"	"peristomium"	"nephridium"	0	"other"	14
"528"	"sg0"	"nephridium"	0	"other"	14
"529"	"sg1"	"nephridium"	0	"other"	14
"530"	"sg2"	"nephridium"	0	"other"	14
"531"	"sg3"	"nephridium"	14	"other"	14
"532"	"pyg"	"nephridium"	0	"other"	14
"533"	"head"	"macrophage-like"	4	"other"	13
"534"	"head"	"microvillarCell"	0	"other"	13
"535"	"peristomium"	"macrophage-like"	1	"other"	13
"536"	"peristomium"	"microvillarCell"	0	"other"	13
"537"	"sg0"	"macrophage-like"	0	"other"	13
"538"	"sg0"	"microvillarCell"	0	"other"	13
"539"	"sg1"	"macrophage-like"	2	"other"	13
"540"	"sg1"	"microvillarCell"	0	"other"	13
"541"	"sg2"	"macrophage-like"	2	"other"	13
"542"	"sg2"	"microvillarCell"	7	"other"	13
"543"	"sg3"	"macrophage-like"	3	"other"	13
"544"	"sg3"	"microvillarCell"	6	"other"	13
"545"	"pyg"	"macrophage-like"	1	"other"	13
"546"	"pyg"	"microvillarCell"	0	"other"	13
"547"	"head"	"acicula"	0	"other"	12
"548"	"peristomium"	"acicula"	0	"other"	12
"549"	"sg0"	"acicula"	0	"other"	12
"550"	"sg1"	"acicula"	4	"other"	12
"551"	"sg2"	"acicula"	4	"other"	12
"552"	"sg3"	"acicula"	4	"other"	12
"553"	"pyg"	"acicula"	0	"other"	12
"554"	"head"	"gland-pigment"	0	"other"	10
"555"	"peristomium"	"gland-pigment"	0	"other"	10
"556"	"sg0"	"gland-pigment"	0	"other"	10
"557"	"sg1"	"gland-pigment"	2	"other"	10
"558"	"sg2"	"gland-pigment"	4	"other"	10
"559"	"sg3"	"gland-pigment"	4	"other"	10
"560"	"pyg"	"gland-pigment"	0	"other"	10
"561"	"head"	"MVGland"	0	"other"	6
"562"	"peristomium"	"MVGland"	0	"other"	6
"563"	"sg0"	"MVGland"	0	"other"	6
"564"	"sg1"	"MVGland"	6	"other"	6
"565"	"sg2"	"MVGland"	0	"other"	6
"566"	"sg3"	"MVGland"	0	"other"	6
"567"	"pyg"	"MVGland"	0	"other"	6
"568"	"head"	"protonephridium"	4	"other"	4
"569"	"peristomium"	"protonephridium"	0	"other"	4
"570"	"sg0"	"protonephridium"	0	"other"	4
"571"	"sg1"	"protonephridium"	0	"other"	4
"572"	"sg2"	"protonephridium"	0	"other"	4
"573"	"sg3"	"protonephridium"	0	"other"	4
"574"	"pyg"	"protonephridium"	0	"other"	4
"575"	"head"	"nephridiumTip"	0	"other"	2
"576"	"head"	"yolk"	0	"other"	2
"577"	"peristomium"	"nephridiumTip"	0	"other"	2
"578"	"peristomium"	"yolk"	0	"other"	2
"579"	"sg0"	"nephridiumTip"	0	"other"	2
"580"	"sg0"	"yolk"	0	"other"	2
"581"	"sg1"	"nephridiumTip"	0	"other"	2
"582"	"sg1"	"yolk"	1	"other"	2
"583"	"sg2"	"nephridiumTip"	0	"other"	2
"584"	"sg2"	"yolk"	1	"other"	2
"585"	"sg3"	"nephridiumTip"	2	"other"	2
"586"	"sg3"	"yolk"	0	"other"	2
"587"	"pyg"	"nephridiumTip"	0	"other"	2
"588"	"pyg"	"yolk"	0	"other"	2
"589"	"head"	"CB-pigment"	15	"pigment cell"	58
"590"	"peristomium"	"CB-pigment"	2	"pigment cell"	58
"591"	"sg0"	"CB-pigment"	2	"pigment cell"	58
"592"	"sg1"	"CB-pigment"	11	"pigment cell"	58
"593"	"sg2"	"CB-pigment"	11	"pigment cell"	58
"594"	"sg3"	"CB-pigment"	17	"pigment cell"	58
"595"	"pyg"	"CB-pigment"	0	"pigment cell"	58
"596"	"head"	"yolk-cover-cell cell"	9	"pigment cell"	37
"597"	"peristomium"	"yolk-cover-cell cell"	2	"pigment cell"	37
"598"	"sg0"	"yolk-cover-cell cell"	2	"pigment cell"	37
"599"	"sg1"	"yolk-cover-cell cell"	6	"pigment cell"	37
"600"	"sg2"	"yolk-cover-cell cell"	2	"pigment cell"	37
"601"	"sg3"	"yolk-cover-cell cell"	16	"pigment cell"	37
"602"	"pyg"	"yolk-cover-cell cell"	0	"pigment cell"	37
"603"	"head"	"pygidial-pigment-cell"	0	"pigment cell"	26
"604"	"peristomium"	"pygidial-pigment-cell"	0	"pigment cell"	26
"605"	"sg0"	"pygidial-pigment-cell"	0	"pigment cell"	26
"606"	"sg1"	"pygidial-pigment-cell"	0	"pigment cell"	26
"607"	"sg2"	"pygidial-pigment-cell"	0	"pigment cell"	26
"608"	"sg3"	"pygidial-pigment-cell"	0	"pigment cell"	26
"609"	"pyg"	"pygidial-pigment-cell"	26	"pigment cell"	26
"610"	"head"	"covercell"	14	"pigment cell"	16
"611"	"peristomium"	"covercell"	2	"pigment cell"	16
"612"	"sg0"	"covercell"	0	"pigment cell"	16
"613"	"sg1"	"covercell"	0	"pigment cell"	16
"614"	"sg2"	"covercell"	0	"pigment cell"	16
"615"	"sg3"	"covercell"	0	"pigment cell"	16
"616"	"pyg"	"covercell"	0	"pigment cell"	16
"617"	"head"	"pigment-cell"	12	"pigment cell"	12
"618"	"peristomium"	"pigment-cell"	0	"pigment cell"	12
"619"	"sg0"	"pigment-cell"	0	"pigment cell"	12
"620"	"sg1"	"pigment-cell"	0	"pigment cell"	12
"621"	"sg2"	"pigment-cell"	0	"pigment cell"	12
"622"	"sg3"	"pigment-cell"	0	"pigment cell"	12
"623"	"pyg"	"pigment-cell"	0	"pigment cell"	12
"624"	"head"	"Glia-pigmented"	5	"pigment cell"	5
"625"	"peristomium"	"Glia-pigmented"	0	"pigment cell"	5
"626"	"sg0"	"Glia-pigmented"	0	"pigment cell"	5
"627"	"sg1"	"Glia-pigmented"	0	"pigment cell"	5
"628"	"sg2"	"Glia-pigmented"	0	"pigment cell"	5
"629"	"sg3"	"Glia-pigmented"	0	"pigment cell"	5
"630"	"pyg"	"Glia-pigmented"	0	"pigment cell"	5
"631"	"head"	"vacuolar-cell-head"	3	"pigment cell"	3
"632"	"peristomium"	"vacuolar-cell-head"	0	"pigment cell"	3
"633"	"sg0"	"vacuolar-cell-head"	0	"pigment cell"	3
"634"	"sg1"	"vacuolar-cell-head"	0	"pigment cell"	3
"635"	"sg2"	"vacuolar-cell-head"	0	"pigment cell"	3
"636"	"sg3"	"vacuolar-cell-head"	0	"pigment cell"	3
"637"	"pyg"	"vacuolar-cell-head"	0	"pigment cell"	3
"638"	"head"	"eyespot-pigment-cell"	2	"pigment cell"	2
"639"	"peristomium"	"eyespot-pigment-cell"	0	"pigment cell"	2
"640"	"sg0"	"eyespot-pigment-cell"	0	"pigment cell"	2
"641"	"sg1"	"eyespot-pigment-cell"	0	"pigment cell"	2
"642"	"sg2"	"eyespot-pigment-cell"	0	"pigment cell"	2
"643"	"sg3"	"eyespot-pigment-cell"	0	"pigment cell"	2
"644"	"pyg"	"eyespot-pigment-cell"	0	"pigment cell"	2
