"region"	"celltype"	"number"	"SN_MN_IN"	"sum_cells"
"98"	"sg1"	"SN-DLSO2"	0	"Sensory neuron"	12
"99"	"sg1"	"spinPU"	0	"Sensory neuron"	12
"100"	"sg2"	"SN-DLSO2"	0	"Sensory neuron"	12
"101"	"sg2"	"spinPU"	6	"Sensory neuron"	12
"102"	"sg3"	"SN-DLSO2"	0	"Sensory neuron"	12
"103"	"sg3"	"spinPU"	6	"Sensory neuron"	12
"104"	"pyg"	"SN-DLSO2"	0	"Sensory neuron"	12
"105"	"pyg"	"spinPU"	0	"Sensory neuron"	12
"106"	"head"	"SNaant"	9	"Sensory neuron"	9
"107"	"head"	"SN-DLSO1.3"	9	"Sensory neuron"	9
"108"	"peristomium"	"SNaant"	0	"Sensory neuron"	9
"109"	"peristomium"	"SN-DLSO1.3"	0	"Sensory neuron"	9
"110"	"sg0"	"SNaant"	0	"Sensory neuron"	9
"111"	"sg0"	"SN-DLSO1.3"	0	"Sensory neuron"	9
"112"	"sg1"	"SNaant"	0	"Sensory neuron"	9
"113"	"sg1"	"SN-DLSO1.3"	0	"Sensory neuron"	9
"114"	"sg2"	"SNaant"	0	"Sensory neuron"	9
"115"	"sg2"	"SN-DLSO1.3"	0	"Sensory neuron"	9
"116"	"sg3"	"SNaant"	0	"Sensory neuron"	9
"117"	"sg3"	"SN-DLSO1.3"	0	"Sensory neuron"	9
"118"	"pyg"	"SNaant"	0	"Sensory neuron"	9
"119"	"pyg"	"SN-DLSO1.3"	0	"Sensory neuron"	9
"120"	"head"	"SNMB2"	8	"Sensory neuron"	8
"121"	"peristomium"	"SNMB2"	0	"Sensory neuron"	8
"122"	"sg0"	"SNMB2"	0	"Sensory neuron"	8
"123"	"sg1"	"SNMB2"	0	"Sensory neuron"	8
"124"	"sg2"	"SNMB2"	0	"Sensory neuron"	8
"125"	"sg3"	"SNMB2"	0	"Sensory neuron"	8
"126"	"pyg"	"SNMB2"	0	"Sensory neuron"	8
"127"	"head"	"hPU"	6	"Sensory neuron"	6
"128"	"peristomium"	"hPU"	0	"Sensory neuron"	6
"129"	"sg0"	"hPU"	0	"Sensory neuron"	6
"130"	"sg1"	"hPU"	0	"Sensory neuron"	6
"131"	"sg2"	"hPU"	0	"Sensory neuron"	6
"132"	"sg3"	"hPU"	0	"Sensory neuron"	6
"133"	"pyg"	"hPU"	0	"Sensory neuron"	6
"134"	"head"	"cPRC"	4	"Sensory neuron"	4
"135"	"head"	"SN-DLSO3"	4	"Sensory neuron"	4
"136"	"head"	"interparaPM1"	0	"Sensory neuron"	4
"137"	"head"	"dsoPU"	4	"Sensory neuron"	4
"138"	"head"	"SNFVa"	0	"Sensory neuron"	4
"139"	"head"	"SNstiff"	0	"Sensory neuron"	4
"140"	"head"	"SN-DLSO1.1"	4	"Sensory neuron"	4
"141"	"peristomium"	"cPRC"	0	"Sensory neuron"	4
"142"	"peristomium"	"SN-DLSO3"	0	"Sensory neuron"	4
"143"	"peristomium"	"interparaPM1"	0	"Sensory neuron"	4
"144"	"peristomium"	"dsoPU"	0	"Sensory neuron"	4
"145"	"peristomium"	"SNFVa"	0	"Sensory neuron"	4
"146"	"peristomium"	"SNstiff"	1	"Sensory neuron"	4
"147"	"peristomium"	"SN-DLSO1.1"	0	"Sensory neuron"	4
"148"	"sg0"	"cPRC"	0	"Sensory neuron"	4
"149"	"sg0"	"SN-DLSO3"	0	"Sensory neuron"	4
"150"	"sg0"	"interparaPM1"	0	"Sensory neuron"	4
"151"	"sg0"	"dsoPU"	0	"Sensory neuron"	4
"152"	"sg0"	"SNFVa"	0	"Sensory neuron"	4
"153"	"sg0"	"SNstiff"	3	"Sensory neuron"	4
"154"	"sg0"	"SN-DLSO1.1"	0	"Sensory neuron"	4
"155"	"sg1"	"cPRC"	0	"Sensory neuron"	4
"156"	"sg1"	"SN-DLSO3"	0	"Sensory neuron"	4
"157"	"sg1"	"interparaPM1"	2	"Sensory neuron"	4
"158"	"sg1"	"dsoPU"	0	"Sensory neuron"	4
"159"	"sg1"	"SNFVa"	0	"Sensory neuron"	4
"160"	"sg1"	"SNstiff"	0	"Sensory neuron"	4
"161"	"sg1"	"SN-DLSO1.1"	0	"Sensory neuron"	4
"162"	"sg2"	"cPRC"	0	"Sensory neuron"	4
"163"	"sg2"	"SN-DLSO3"	0	"Sensory neuron"	4
"164"	"sg2"	"interparaPM1"	2	"Sensory neuron"	4
"165"	"sg2"	"dsoPU"	0	"Sensory neuron"	4
"166"	"sg2"	"SNFVa"	2	"Sensory neuron"	4
"167"	"sg2"	"SNstiff"	0	"Sensory neuron"	4
"168"	"sg2"	"SN-DLSO1.1"	0	"Sensory neuron"	4
"169"	"sg3"	"cPRC"	0	"Sensory neuron"	4
"170"	"sg3"	"SN-DLSO3"	0	"Sensory neuron"	4
"171"	"sg3"	"interparaPM1"	0	"Sensory neuron"	4
"172"	"sg3"	"dsoPU"	0	"Sensory neuron"	4
"173"	"sg3"	"SNFVa"	2	"Sensory neuron"	4
"174"	"sg3"	"SNstiff"	0	"Sensory neuron"	4
"175"	"sg3"	"SN-DLSO1.1"	0	"Sensory neuron"	4
"176"	"pyg"	"cPRC"	0	"Sensory neuron"	4
"177"	"pyg"	"SN-DLSO3"	0	"Sensory neuron"	4
"178"	"pyg"	"interparaPM1"	0	"Sensory neuron"	4
"179"	"pyg"	"dsoPU"	0	"Sensory neuron"	4
"180"	"pyg"	"SNFVa"	0	"Sensory neuron"	4
"181"	"pyg"	"SNstiff"	0	"Sensory neuron"	4
"182"	"pyg"	"SN-DLSO1.1"	0	"Sensory neuron"	4
"183"	"head"	"SNnuchNS"	3	"Sensory neuron"	3
"184"	"peristomium"	"SNnuchNS"	0	"Sensory neuron"	3
"185"	"sg0"	"SNnuchNS"	0	"Sensory neuron"	3
"186"	"sg1"	"SNnuchNS"	0	"Sensory neuron"	3
"187"	"sg2"	"SNnuchNS"	0	"Sensory neuron"	3
"188"	"sg3"	"SNnuchNS"	0	"Sensory neuron"	3
"189"	"pyg"	"SNnuchNS"	0	"Sensory neuron"	3
"190"	"head"	"SNnuchBx"	2	"Sensory neuron"	2
"191"	"head"	"SNgolden"	2	"Sensory neuron"	2
"192"	"head"	"SNhorn"	2	"Sensory neuron"	2
"193"	"head"	"SNhook"	2	"Sensory neuron"	2
"194"	"head"	"SNlasso"	2	"Sensory neuron"	2
"195"	"head"	"SNMIP-vc"	2	"Sensory neuron"	2
"196"	"head"	"SNmus"	2	"Sensory neuron"	2
"197"	"head"	"SNantlerPDF"	2	"Sensory neuron"	2
"198"	"head"	"SNPDF-dc"	2	"Sensory neuron"	2
"199"	"head"	"SN0DLSO1.2-4"	2	"Sensory neuron"	2
"200"	"head"	"SN-DLSO1.2-1"	2	"Sensory neuron"	2
"201"	"head"	"eyespot-PRCR3"	2	"Sensory neuron"	2
"202"	"head"	"eyespot-PRCR1"	2	"Sensory neuron"	2
"203"	"head"	"MS4"	1	"Sensory neuron"	2
"204"	"head"	"MS3"	2	"Sensory neuron"	2
"205"	"head"	"MS5"	0	"Sensory neuron"	2
"206"	"head"	"SN-ASTC"	2	"Sensory neuron"	2
"207"	"head"	"SN-DLSO3-PDF"	2	"Sensory neuron"	2
"208"	"head"	"SN-MIP4"	2	"Sensory neuron"	2
"209"	"head"	"SN-MIP1"	2	"Sensory neuron"	2
"210"	"head"	"SN-WLD"	2	"Sensory neuron"	2
"211"	"head"	"SNbicil"	2	"Sensory neuron"	2
"212"	"head"	"hPUc1"	2	"Sensory neuron"	2
"213"	"head"	"pygCirrusPUSM"	0	"Sensory neuron"	2
"214"	"head"	"SN-DLSO1.0"	2	"Sensory neuron"	2
"215"	"head"	"SN-NS1"	2	"Sensory neuron"	2
"216"	"head"	"SN-NS3"	2	"Sensory neuron"	2
"217"	"head"	"SN-NS15"	2	"Sensory neuron"	2
"218"	"head"	"SNPDF-pyg"	0	"Sensory neuron"	2
"219"	"head"	"SN-NS22"	2	"Sensory neuron"	2
"220"	"head"	"SN-NS5"	2	"Sensory neuron"	2
"221"	"head"	"SN-NS17"	2	"Sensory neuron"	2
"222"	"head"	"SN-NS19"	2	"Sensory neuron"	2
"223"	"head"	"SN-NS20"	2	"Sensory neuron"	2
"224"	"head"	"SN-NS29"	2	"Sensory neuron"	2
"225"	"head"	"SN-NS27"	2	"Sensory neuron"	2
"226"	"head"	"SN-NS18"	2	"Sensory neuron"	2
"227"	"head"	"SN-NS16"	2	"Sensory neuron"	2
"228"	"head"	"SNadNS22"	2	"Sensory neuron"	2
"229"	"head"	"SNblunt"	2	"Sensory neuron"	2
"230"	"head"	"SNbronto"	2	"Sensory neuron"	2
"231"	"head"	"SNpygM"	0	"Sensory neuron"	2
"232"	"head"	"SN-DLSO1.1NP"	2	"Sensory neuron"	2
"233"	"head"	"SNtorii"	2	"Sensory neuron"	2
