"region"	"celltype"	"number"	"SN_MN_IN"	"sum_cells"
"418"	"sg3"	"SNhook"	0	"Sensory neuron"	2
"419"	"sg3"	"SNlasso"	0	"Sensory neuron"	2
"420"	"sg3"	"SNMIP-vc"	0	"Sensory neuron"	2
"421"	"sg3"	"SNmus"	0	"Sensory neuron"	2
"422"	"sg3"	"SNantlerPDF"	0	"Sensory neuron"	2
"423"	"sg3"	"SNPDF-dc"	0	"Sensory neuron"	2
"424"	"sg3"	"SN0DLSO1.2-4"	0	"Sensory neuron"	2
"425"	"sg3"	"SN-DLSO1.2-1"	0	"Sensory neuron"	2
"426"	"sg3"	"eyespot-PRCR3"	0	"Sensory neuron"	2
"427"	"sg3"	"eyespot-PRCR1"	0	"Sensory neuron"	2
"428"	"sg3"	"MS4"	0	"Sensory neuron"	2
"429"	"sg3"	"MS3"	0	"Sensory neuron"	2
"430"	"sg3"	"MS5"	0	"Sensory neuron"	2
"431"	"sg3"	"SN-ASTC"	0	"Sensory neuron"	2
"432"	"sg3"	"SN-DLSO3-PDF"	0	"Sensory neuron"	2
"433"	"sg3"	"SN-MIP4"	0	"Sensory neuron"	2
"434"	"sg3"	"SN-MIP1"	0	"Sensory neuron"	2
"435"	"sg3"	"SN-WLD"	0	"Sensory neuron"	2
"436"	"sg3"	"SNbicil"	0	"Sensory neuron"	2
"437"	"sg3"	"hPUc1"	0	"Sensory neuron"	2
"438"	"sg3"	"pygCirrusPUSM"	0	"Sensory neuron"	2
"439"	"sg3"	"SN-DLSO1.0"	0	"Sensory neuron"	2
"440"	"sg3"	"SN-NS1"	0	"Sensory neuron"	2
"441"	"sg3"	"SN-NS3"	0	"Sensory neuron"	2
"442"	"sg3"	"SN-NS15"	0	"Sensory neuron"	2
"443"	"sg3"	"SNPDF-pyg"	0	"Sensory neuron"	2
"444"	"sg3"	"SN-NS22"	0	"Sensory neuron"	2
"445"	"sg3"	"SN-NS5"	0	"Sensory neuron"	2
"446"	"sg3"	"SN-NS17"	0	"Sensory neuron"	2
"447"	"sg3"	"SN-NS19"	0	"Sensory neuron"	2
"448"	"sg3"	"SN-NS20"	0	"Sensory neuron"	2
"449"	"sg3"	"SN-NS29"	0	"Sensory neuron"	2
"450"	"sg3"	"SN-NS27"	0	"Sensory neuron"	2
"451"	"sg3"	"SN-NS18"	0	"Sensory neuron"	2
"452"	"sg3"	"SN-NS16"	0	"Sensory neuron"	2
"453"	"sg3"	"SNadNS22"	0	"Sensory neuron"	2
"454"	"sg3"	"SNblunt"	0	"Sensory neuron"	2
"455"	"sg3"	"SNbronto"	0	"Sensory neuron"	2
"456"	"sg3"	"SNpygM"	0	"Sensory neuron"	2
"457"	"sg3"	"SN-DLSO1.1NP"	0	"Sensory neuron"	2
"458"	"sg3"	"SNtorii"	0	"Sensory neuron"	2
"459"	"sg3"	"SNtrpa"	0	"Sensory neuron"	2
"460"	"pyg"	"SNnuchBx"	0	"Sensory neuron"	2
"461"	"pyg"	"SNgolden"	0	"Sensory neuron"	2
"462"	"pyg"	"SNhorn"	0	"Sensory neuron"	2
"463"	"pyg"	"SNhook"	0	"Sensory neuron"	2
"464"	"pyg"	"SNlasso"	0	"Sensory neuron"	2
"465"	"pyg"	"SNMIP-vc"	0	"Sensory neuron"	2
"466"	"pyg"	"SNmus"	0	"Sensory neuron"	2
"467"	"pyg"	"SNantlerPDF"	0	"Sensory neuron"	2
"468"	"pyg"	"SNPDF-dc"	0	"Sensory neuron"	2
"469"	"pyg"	"SN0DLSO1.2-4"	0	"Sensory neuron"	2
"470"	"pyg"	"SN-DLSO1.2-1"	0	"Sensory neuron"	2
"471"	"pyg"	"eyespot-PRCR3"	0	"Sensory neuron"	2
"472"	"pyg"	"eyespot-PRCR1"	0	"Sensory neuron"	2
"473"	"pyg"	"MS4"	0	"Sensory neuron"	2
"474"	"pyg"	"MS3"	0	"Sensory neuron"	2
"475"	"pyg"	"MS5"	0	"Sensory neuron"	2
"476"	"pyg"	"SN-ASTC"	0	"Sensory neuron"	2
"477"	"pyg"	"SN-DLSO3-PDF"	0	"Sensory neuron"	2
"478"	"pyg"	"SN-MIP4"	0	"Sensory neuron"	2
"479"	"pyg"	"SN-MIP1"	0	"Sensory neuron"	2
"480"	"pyg"	"SN-WLD"	0	"Sensory neuron"	2
"481"	"pyg"	"SNbicil"	0	"Sensory neuron"	2
"482"	"pyg"	"hPUc1"	0	"Sensory neuron"	2
"483"	"pyg"	"pygCirrusPUSM"	2	"Sensory neuron"	2
"484"	"pyg"	"SN-DLSO1.0"	0	"Sensory neuron"	2
"485"	"pyg"	"SN-NS1"	0	"Sensory neuron"	2
"486"	"pyg"	"SN-NS3"	0	"Sensory neuron"	2
"487"	"pyg"	"SN-NS15"	0	"Sensory neuron"	2
"488"	"pyg"	"SNPDF-pyg"	2	"Sensory neuron"	2
"489"	"pyg"	"SN-NS22"	0	"Sensory neuron"	2
"490"	"pyg"	"SN-NS5"	0	"Sensory neuron"	2
"491"	"pyg"	"SN-NS17"	0	"Sensory neuron"	2
"492"	"pyg"	"SN-NS19"	0	"Sensory neuron"	2
"493"	"pyg"	"SN-NS20"	0	"Sensory neuron"	2
"494"	"pyg"	"SN-NS29"	0	"Sensory neuron"	2
"495"	"pyg"	"SN-NS27"	0	"Sensory neuron"	2
"496"	"pyg"	"SN-NS18"	0	"Sensory neuron"	2
"497"	"pyg"	"SN-NS16"	0	"Sensory neuron"	2
"498"	"pyg"	"SNadNS22"	0	"Sensory neuron"	2
"499"	"pyg"	"SNblunt"	0	"Sensory neuron"	2
"500"	"pyg"	"SNbronto"	0	"Sensory neuron"	2
"501"	"pyg"	"SNpygM"	2	"Sensory neuron"	2
"502"	"pyg"	"SN-DLSO1.1NP"	0	"Sensory neuron"	2
"503"	"pyg"	"SNtorii"	0	"Sensory neuron"	2
"504"	"pyg"	"SNtrpa"	0	"Sensory neuron"	2
"505"	"head"	"MS1"	1	"Sensory neuron"	1
"506"	"head"	"SN-IRP2-burs"	1	"Sensory neuron"	1
"507"	"head"	"SN-IRP2-FMRF"	1	"Sensory neuron"	1
"508"	"head"	"SNasym"	1	"Sensory neuron"	1
"509"	"head"	"SN47Ach"	1	"Sensory neuron"	1
"510"	"head"	"pygPBunp"	0	"Sensory neuron"	1
"511"	"head"	"VentraltrunkPUunp"	0	"Sensory neuron"	1
"512"	"head"	"hPU2l-asymPDF"	1	"Sensory neuron"	1
"513"	"head"	"doCRunp"	0	"Sensory neuron"	1
"514"	"head"	"SN-NS4"	1	"Sensory neuron"	1
"515"	"head"	"SN-YF5cil"	1	"Sensory neuron"	1
"516"	"head"	"SN-NS6"	1	"Sensory neuron"	1
"517"	"peristomium"	"MS1"	0	"Sensory neuron"	1
"518"	"peristomium"	"SN-IRP2-burs"	0	"Sensory neuron"	1
"519"	"peristomium"	"SN-IRP2-FMRF"	0	"Sensory neuron"	1
"520"	"peristomium"	"SNasym"	0	"Sensory neuron"	1
"521"	"peristomium"	"SN47Ach"	0	"Sensory neuron"	1
"522"	"peristomium"	"pygPBunp"	0	"Sensory neuron"	1
"523"	"peristomium"	"VentraltrunkPUunp"	0	"Sensory neuron"	1
"524"	"peristomium"	"hPU2l-asymPDF"	0	"Sensory neuron"	1
"525"	"peristomium"	"doCRunp"	0	"Sensory neuron"	1
"526"	"peristomium"	"SN-NS4"	0	"Sensory neuron"	1
"527"	"peristomium"	"SN-YF5cil"	0	"Sensory neuron"	1
"528"	"peristomium"	"SN-NS6"	0	"Sensory neuron"	1
"529"	"sg0"	"MS1"	0	"Sensory neuron"	1
"530"	"sg0"	"SN-IRP2-burs"	0	"Sensory neuron"	1
"531"	"sg0"	"SN-IRP2-FMRF"	0	"Sensory neuron"	1
"532"	"sg0"	"SNasym"	0	"Sensory neuron"	1
"533"	"sg0"	"SN47Ach"	0	"Sensory neuron"	1
"534"	"sg0"	"pygPBunp"	0	"Sensory neuron"	1
"535"	"sg0"	"VentraltrunkPUunp"	0	"Sensory neuron"	1
"536"	"sg0"	"hPU2l-asymPDF"	0	"Sensory neuron"	1
"537"	"sg0"	"doCRunp"	0	"Sensory neuron"	1
"538"	"sg0"	"SN-NS4"	0	"Sensory neuron"	1
"539"	"sg0"	"SN-YF5cil"	0	"Sensory neuron"	1
"540"	"sg0"	"SN-NS6"	0	"Sensory neuron"	1
"541"	"sg1"	"MS1"	0	"Sensory neuron"	1
"542"	"sg1"	"SN-IRP2-burs"	0	"Sensory neuron"	1
"543"	"sg1"	"SN-IRP2-FMRF"	0	"Sensory neuron"	1
"544"	"sg1"	"SNasym"	0	"Sensory neuron"	1
"545"	"sg1"	"SN47Ach"	0	"Sensory neuron"	1
"546"	"sg1"	"pygPBunp"	0	"Sensory neuron"	1
"547"	"sg1"	"VentraltrunkPUunp"	0	"Sensory neuron"	1
"548"	"sg1"	"hPU2l-asymPDF"	0	"Sensory neuron"	1
"549"	"sg1"	"doCRunp"	1	"Sensory neuron"	1
"550"	"sg1"	"SN-NS4"	0	"Sensory neuron"	1
"551"	"sg1"	"SN-YF5cil"	0	"Sensory neuron"	1
"552"	"sg1"	"SN-NS6"	0	"Sensory neuron"	1
"553"	"sg2"	"MS1"	0	"Sensory neuron"	1
"554"	"sg2"	"SN-IRP2-burs"	0	"Sensory neuron"	1
"555"	"sg2"	"SN-IRP2-FMRF"	0	"Sensory neuron"	1
"556"	"sg2"	"SNasym"	0	"Sensory neuron"	1
"557"	"sg2"	"SN47Ach"	0	"Sensory neuron"	1
"558"	"sg2"	"pygPBunp"	0	"Sensory neuron"	1
"559"	"sg2"	"VentraltrunkPUunp"	1	"Sensory neuron"	1
"560"	"sg2"	"hPU2l-asymPDF"	0	"Sensory neuron"	1
"561"	"sg2"	"doCRunp"	0	"Sensory neuron"	1
"562"	"sg2"	"SN-NS4"	0	"Sensory neuron"	1
"563"	"sg2"	"SN-YF5cil"	0	"Sensory neuron"	1
"564"	"sg2"	"SN-NS6"	0	"Sensory neuron"	1
"565"	"sg3"	"MS1"	0	"Sensory neuron"	1
"566"	"sg3"	"SN-IRP2-burs"	0	"Sensory neuron"	1
"567"	"sg3"	"SN-IRP2-FMRF"	0	"Sensory neuron"	1
"568"	"sg3"	"SNasym"	0	"Sensory neuron"	1
"569"	"sg3"	"SN47Ach"	0	"Sensory neuron"	1
"570"	"sg3"	"pygPBunp"	0	"Sensory neuron"	1
"571"	"sg3"	"VentraltrunkPUunp"	0	"Sensory neuron"	1
"572"	"sg3"	"hPU2l-asymPDF"	0	"Sensory neuron"	1
"573"	"sg3"	"doCRunp"	0	"Sensory neuron"	1
"574"	"sg3"	"SN-NS4"	0	"Sensory neuron"	1
"575"	"sg3"	"SN-YF5cil"	0	"Sensory neuron"	1
"576"	"sg3"	"SN-NS6"	0	"Sensory neuron"	1
"577"	"pyg"	"MS1"	0	"Sensory neuron"	1
"578"	"pyg"	"SN-IRP2-burs"	0	"Sensory neuron"	1
"579"	"pyg"	"SN-IRP2-FMRF"	0	"Sensory neuron"	1
"580"	"pyg"	"SNasym"	0	"Sensory neuron"	1
"581"	"pyg"	"SN47Ach"	0	"Sensory neuron"	1
"582"	"pyg"	"pygPBunp"	1	"Sensory neuron"	1
"583"	"pyg"	"VentraltrunkPUunp"	0	"Sensory neuron"	1
"584"	"pyg"	"hPU2l-asymPDF"	0	"Sensory neuron"	1
"585"	"pyg"	"doCRunp"	0	"Sensory neuron"	1
"586"	"pyg"	"SN-NS4"	0	"Sensory neuron"	1
"587"	"pyg"	"SN-YF5cil"	0	"Sensory neuron"	1
"588"	"pyg"	"SN-NS6"	0	"Sensory neuron"	1
"589"	"head"	"INsplitCR"	0	"interneuron"	17
"590"	"head"	"INsplitPB"	0	"interneuron"	17
"591"	"peristomium"	"INsplitCR"	0	"interneuron"	17
"592"	"peristomium"	"INsplitPB"	0	"interneuron"	17
"593"	"sg0"	"INsplitCR"	1	"interneuron"	17
"594"	"sg0"	"INsplitPB"	0	"interneuron"	17
"595"	"sg1"	"INsplitCR"	8	"interneuron"	17
"596"	"sg1"	"INsplitPB"	2	"interneuron"	17
"597"	"sg2"	"INsplitCR"	7	"interneuron"	17
"598"	"sg2"	"INsplitPB"	9	"interneuron"	17
"599"	"sg3"	"INsplitCR"	1	"interneuron"	17
"600"	"sg3"	"INsplitPB"	6	"interneuron"	17
"601"	"pyg"	"INsplitCR"	0	"interneuron"	17
"602"	"pyg"	"INsplitPB"	0	"interneuron"	17
"603"	"head"	"MBmouth"	14	"interneuron"	14
"604"	"peristomium"	"MBmouth"	0	"interneuron"	14
"605"	"sg0"	"MBmouth"	0	"interneuron"	14
"606"	"sg1"	"MBmouth"	0	"interneuron"	14
"607"	"sg2"	"MBmouth"	0	"interneuron"	14
"608"	"sg3"	"MBmouth"	0	"interneuron"	14
"609"	"pyg"	"MBmouth"	0	"interneuron"	14
"610"	"head"	"INcomm-Upstairs"	0	"interneuron"	13
"611"	"peristomium"	"INcomm-Upstairs"	0	"interneuron"	13
"612"	"sg0"	"INcomm-Upstairs"	0	"interneuron"	13
"613"	"sg1"	"INcomm-Upstairs"	0	"interneuron"	13
"614"	"sg2"	"INcomm-Upstairs"	0	"interneuron"	13
"615"	"sg3"	"INcomm-Upstairs"	2	"interneuron"	13
"616"	"pyg"	"INcomm-Upstairs"	11	"interneuron"	13
"617"	"head"	"INpro"	12	"interneuron"	12
"618"	"peristomium"	"INpro"	0	"interneuron"	12
"619"	"sg0"	"INpro"	0	"interneuron"	12
"620"	"sg1"	"INpro"	0	"interneuron"	12
"621"	"sg2"	"INpro"	0	"interneuron"	12
"622"	"sg3"	"INpro"	0	"interneuron"	12
"623"	"pyg"	"INpro"	0	"interneuron"	12
"624"	"head"	"IN1"	10	"interneuron"	10
"625"	"peristomium"	"IN1"	0	"interneuron"	10
"626"	"sg0"	"IN1"	0	"interneuron"	10
"627"	"sg1"	"IN1"	0	"interneuron"	10
"628"	"sg2"	"IN1"	0	"interneuron"	10
"629"	"sg3"	"IN1"	0	"interneuron"	10
"630"	"pyg"	"IN1"	0	"interneuron"	10
"631"	"head"	"INcomm-Upcross"	0	"interneuron"	9
"632"	"peristomium"	"INcomm-Upcross"	0	"interneuron"	9
"633"	"sg0"	"INcomm-Upcross"	0	"interneuron"	9
"634"	"sg1"	"INcomm-Upcross"	2	"interneuron"	9
"635"	"sg2"	"INcomm-Upcross"	7	"interneuron"	9
"636"	"sg3"	"INcomm-Upcross"	0	"interneuron"	9
"637"	"pyg"	"INcomm-Upcross"	0	"interneuron"	9
"638"	"head"	"INMBtype6"	8	"interneuron"	8
"639"	"peristomium"	"INMBtype6"	0	"interneuron"	8
"640"	"sg0"	"INMBtype6"	0	"interneuron"	8
"641"	"sg1"	"INMBtype6"	0	"interneuron"	8
"642"	"sg2"	"INMBtype6"	0	"interneuron"	8
"643"	"sg3"	"INMBtype6"	0	"interneuron"	8
"644"	"pyg"	"INMBtype6"	0	"interneuron"	8
"645"	"head"	"INlasso"	7	"interneuron"	7
"646"	"head"	"INcross"	7	"interneuron"	7
"647"	"peristomium"	"INlasso"	0	"interneuron"	7
"648"	"peristomium"	"INcross"	0	"interneuron"	7
"649"	"sg0"	"INlasso"	0	"interneuron"	7
"650"	"sg0"	"INcross"	0	"interneuron"	7
"651"	"sg1"	"INlasso"	0	"interneuron"	7
"652"	"sg1"	"INcross"	0	"interneuron"	7
"653"	"sg2"	"INlasso"	0	"interneuron"	7
"654"	"sg2"	"INcross"	0	"interneuron"	7
"655"	"sg3"	"INlasso"	0	"interneuron"	7
"656"	"sg3"	"INcross"	0	"interneuron"	7
"657"	"pyg"	"INlasso"	0	"interneuron"	7
"658"	"pyg"	"INcross"	0	"interneuron"	7
"659"	"head"	"INpreMN"	6	"interneuron"	6
"660"	"head"	"INsn"	6	"interneuron"	6
"661"	"head"	"INdc"	6	"interneuron"	6
"662"	"head"	"INbackcross"	0	"interneuron"	6
"663"	"peristomium"	"INpreMN"	0	"interneuron"	6
"664"	"peristomium"	"INsn"	0	"interneuron"	6
"665"	"peristomium"	"INdc"	0	"interneuron"	6
"666"	"peristomium"	"INbackcross"	0	"interneuron"	6
"667"	"sg0"	"INpreMN"	0	"interneuron"	6
"668"	"sg0"	"INsn"	0	"interneuron"	6
"669"	"sg0"	"INdc"	0	"interneuron"	6
"670"	"sg0"	"INbackcross"	0	"interneuron"	6
"671"	"sg1"	"INpreMN"	0	"interneuron"	6
"672"	"sg1"	"INsn"	0	"interneuron"	6
"673"	"sg1"	"INdc"	0	"interneuron"	6
"674"	"sg1"	"INbackcross"	2	"interneuron"	6
"675"	"sg2"	"INpreMN"	0	"interneuron"	6
"676"	"sg2"	"INsn"	0	"interneuron"	6
"677"	"sg2"	"INdc"	0	"interneuron"	6
"678"	"sg2"	"INbackcross"	2	"interneuron"	6
"679"	"sg3"	"INpreMN"	0	"interneuron"	6
"680"	"sg3"	"INsn"	0	"interneuron"	6
"681"	"sg3"	"INdc"	0	"interneuron"	6
"682"	"sg3"	"INbackcross"	2	"interneuron"	6
"683"	"pyg"	"INpreMN"	0	"interneuron"	6
"684"	"pyg"	"INsn"	0	"interneuron"	6
"685"	"pyg"	"INdc"	0	"interneuron"	6
"686"	"pyg"	"INbackcross"	0	"interneuron"	6
"687"	"head"	"INbiaxH"	0	"interneuron"	5
"688"	"head"	"INW"	5	"interneuron"	5
"689"	"peristomium"	"INbiaxH"	0	"interneuron"	5
"690"	"peristomium"	"INW"	0	"interneuron"	5
"691"	"sg0"	"INbiaxH"	0	"interneuron"	5
"692"	"sg0"	"INW"	0	"interneuron"	5
"693"	"sg1"	"INbiaxH"	2	"interneuron"	5
"694"	"sg1"	"INW"	0	"interneuron"	5
"695"	"sg2"	"INbiaxH"	3	"interneuron"	5
"696"	"sg2"	"INW"	0	"interneuron"	5
"697"	"sg3"	"INbiaxH"	0	"interneuron"	5
"698"	"sg3"	"INW"	0	"interneuron"	5
"699"	"pyg"	"INbiaxH"	0	"interneuron"	5
"700"	"pyg"	"INW"	0	"interneuron"	5
"701"	"head"	"INton"	4	"interneuron"	4
"702"	"head"	"INRGWa"	4	"interneuron"	4
"703"	"head"	"INNOS"	4	"interneuron"	4
"704"	"head"	"INfoot"	4	"interneuron"	4
"705"	"head"	"INmidL"	4	"interneuron"	4
"706"	"head"	"INMBtype7"	4	"interneuron"	4
"707"	"head"	"INproT2"	4	"interneuron"	4
"708"	"head"	"INpear"	4	"interneuron"	4
"709"	"head"	"INZ"	4	"interneuron"	4
"710"	"head"	"INbigloop"	4	"interneuron"	4
"711"	"head"	"INasc-pyg"	0	"interneuron"	4
"712"	"head"	"INpreLadder"	0	"interneuron"	4
"713"	"head"	"INR1"	4	"interneuron"	4
"714"	"head"	"INMBPDF"	4	"interneuron"	4
"715"	"head"	"INDLSO"	4	"interneuron"	4
"716"	"head"	"INMBdesc2"	4	"interneuron"	4
"717"	"head"	"INpara"	4	"interneuron"	4
"718"	"peristomium"	"INton"	0	"interneuron"	4
"719"	"peristomium"	"INRGWa"	0	"interneuron"	4
"720"	"peristomium"	"INNOS"	0	"interneuron"	4
"721"	"peristomium"	"INfoot"	0	"interneuron"	4
"722"	"peristomium"	"INmidL"	0	"interneuron"	4
"723"	"peristomium"	"INMBtype7"	0	"interneuron"	4
"724"	"peristomium"	"INproT2"	0	"interneuron"	4
"725"	"peristomium"	"INpear"	0	"interneuron"	4
"726"	"peristomium"	"INZ"	0	"interneuron"	4
"727"	"peristomium"	"INbigloop"	0	"interneuron"	4
"728"	"peristomium"	"INasc-pyg"	0	"interneuron"	4
"729"	"peristomium"	"INpreLadder"	0	"interneuron"	4
"730"	"peristomium"	"INR1"	0	"interneuron"	4
"731"	"peristomium"	"INMBPDF"	0	"interneuron"	4
"732"	"peristomium"	"INDLSO"	0	"interneuron"	4
"733"	"peristomium"	"INMBdesc2"	0	"interneuron"	4
"734"	"peristomium"	"INpara"	0	"interneuron"	4
"735"	"sg0"	"INton"	0	"interneuron"	4
"736"	"sg0"	"INRGWa"	0	"interneuron"	4
"737"	"sg0"	"INNOS"	0	"interneuron"	4
"738"	"sg0"	"INfoot"	0	"interneuron"	4
"739"	"sg0"	"INmidL"	0	"interneuron"	4
"740"	"sg0"	"INMBtype7"	0	"interneuron"	4
"741"	"sg0"	"INproT2"	0	"interneuron"	4
"742"	"sg0"	"INpear"	0	"interneuron"	4
"743"	"sg0"	"INZ"	0	"interneuron"	4
"744"	"sg0"	"INbigloop"	0	"interneuron"	4
"745"	"sg0"	"INasc-pyg"	0	"interneuron"	4
"746"	"sg0"	"INpreLadder"	0	"interneuron"	4
"747"	"sg0"	"INR1"	0	"interneuron"	4
"748"	"sg0"	"INMBPDF"	0	"interneuron"	4
"749"	"sg0"	"INDLSO"	0	"interneuron"	4
"750"	"sg0"	"INMBdesc2"	0	"interneuron"	4
"751"	"sg0"	"INpara"	0	"interneuron"	4
"752"	"sg1"	"INton"	0	"interneuron"	4
"753"	"sg1"	"INRGWa"	0	"interneuron"	4
"754"	"sg1"	"INNOS"	0	"interneuron"	4
"755"	"sg1"	"INfoot"	0	"interneuron"	4
"756"	"sg1"	"INmidL"	0	"interneuron"	4
"757"	"sg1"	"INMBtype7"	0	"interneuron"	4
"758"	"sg1"	"INproT2"	0	"interneuron"	4
"759"	"sg1"	"INpear"	0	"interneuron"	4
"760"	"sg1"	"INZ"	0	"interneuron"	4
"761"	"sg1"	"INbigloop"	0	"interneuron"	4
"762"	"sg1"	"INasc-pyg"	0	"interneuron"	4
"763"	"sg1"	"INpreLadder"	0	"interneuron"	4
"764"	"sg1"	"INR1"	0	"interneuron"	4
"765"	"sg1"	"INMBPDF"	0	"interneuron"	4
"766"	"sg1"	"INDLSO"	0	"interneuron"	4
"767"	"sg1"	"INMBdesc2"	0	"interneuron"	4
"768"	"sg1"	"INpara"	0	"interneuron"	4
"769"	"sg2"	"INton"	0	"interneuron"	4
"770"	"sg2"	"INRGWa"	0	"interneuron"	4
"771"	"sg2"	"INNOS"	0	"interneuron"	4
"772"	"sg2"	"INfoot"	0	"interneuron"	4
"773"	"sg2"	"INmidL"	0	"interneuron"	4
"774"	"sg2"	"INMBtype7"	0	"interneuron"	4
"775"	"sg2"	"INproT2"	0	"interneuron"	4
"776"	"sg2"	"INpear"	0	"interneuron"	4
"777"	"sg2"	"INZ"	0	"interneuron"	4
"778"	"sg2"	"INbigloop"	0	"interneuron"	4
"779"	"sg2"	"INasc-pyg"	0	"interneuron"	4
"780"	"sg2"	"INpreLadder"	2	"interneuron"	4
"781"	"sg2"	"INR1"	0	"interneuron"	4
"782"	"sg2"	"INMBPDF"	0	"interneuron"	4
"783"	"sg2"	"INDLSO"	0	"interneuron"	4
"784"	"sg2"	"INMBdesc2"	0	"interneuron"	4
"785"	"sg2"	"INpara"	0	"interneuron"	4
"786"	"sg3"	"INton"	0	"interneuron"	4
"787"	"sg3"	"INRGWa"	0	"interneuron"	4
"788"	"sg3"	"INNOS"	0	"interneuron"	4
"789"	"sg3"	"INfoot"	0	"interneuron"	4
"790"	"sg3"	"INmidL"	0	"interneuron"	4
"791"	"sg3"	"INMBtype7"	0	"interneuron"	4
"792"	"sg3"	"INproT2"	0	"interneuron"	4
"793"	"sg3"	"INpear"	0	"interneuron"	4
"794"	"sg3"	"INZ"	0	"interneuron"	4
"795"	"sg3"	"INbigloop"	0	"interneuron"	4
"796"	"sg3"	"INasc-pyg"	0	"interneuron"	4
"797"	"sg3"	"INpreLadder"	2	"interneuron"	4
"798"	"sg3"	"INR1"	0	"interneuron"	4
"799"	"sg3"	"INMBPDF"	0	"interneuron"	4
"800"	"sg3"	"INDLSO"	0	"interneuron"	4
"801"	"sg3"	"INMBdesc2"	0	"interneuron"	4
"802"	"sg3"	"INpara"	0	"interneuron"	4
"803"	"pyg"	"INton"	0	"interneuron"	4
"804"	"pyg"	"INRGWa"	0	"interneuron"	4
"805"	"pyg"	"INNOS"	0	"interneuron"	4
"806"	"pyg"	"INfoot"	0	"interneuron"	4
"807"	"pyg"	"INmidL"	0	"interneuron"	4
"808"	"pyg"	"INMBtype7"	0	"interneuron"	4
"809"	"pyg"	"INproT2"	0	"interneuron"	4
"810"	"pyg"	"INpear"	0	"interneuron"	4
"811"	"pyg"	"INZ"	0	"interneuron"	4
"812"	"pyg"	"INbigloop"	0	"interneuron"	4
"813"	"pyg"	"INasc-pyg"	4	"interneuron"	4
"814"	"pyg"	"INpreLadder"	0	"interneuron"	4
"815"	"pyg"	"INR1"	0	"interneuron"	4
"816"	"pyg"	"INMBPDF"	0	"interneuron"	4
"817"	"pyg"	"INDLSO"	0	"interneuron"	4
"818"	"pyg"	"INMBdesc2"	0	"interneuron"	4
"819"	"pyg"	"INpara"	0	"interneuron"	4
"820"	"head"	"INsplitPUh"	3	"interneuron"	3
"821"	"head"	"INbiaxLeg"	0	"interneuron"	3
"822"	"head"	"INcommascFV"	0	"interneuron"	3
"823"	"peristomium"	"INsplitPUh"	0	"interneuron"	3
"824"	"peristomium"	"INbiaxLeg"	0	"interneuron"	3
"825"	"peristomium"	"INcommascFV"	0	"interneuron"	3
"826"	"sg0"	"INsplitPUh"	0	"interneuron"	3
"827"	"sg0"	"INbiaxLeg"	0	"interneuron"	3
"828"	"sg0"	"INcommascFV"	0	"interneuron"	3
"829"	"sg1"	"INsplitPUh"	0	"interneuron"	3
"830"	"sg1"	"INbiaxLeg"	0	"interneuron"	3
"831"	"sg1"	"INcommascFV"	0	"interneuron"	3
"832"	"sg2"	"INsplitPUh"	0	"interneuron"	3
"833"	"sg2"	"INbiaxLeg"	3	"interneuron"	3
"834"	"sg2"	"INcommascFV"	3	"interneuron"	3
"835"	"sg3"	"INsplitPUh"	0	"interneuron"	3
"836"	"sg3"	"INbiaxLeg"	0	"interneuron"	3
"837"	"sg3"	"INcommascFV"	0	"interneuron"	3
"838"	"pyg"	"INsplitPUh"	0	"interneuron"	3
"839"	"pyg"	"INbiaxLeg"	0	"interneuron"	3
"840"	"pyg"	"INcommascFV"	0	"interneuron"	3
"841"	"head"	"INpreSer"	2	"interneuron"	2
"842"	"head"	"INdecussPre"	2	"interneuron"	2
"843"	"head"	"MC2biax-1"	2	"interneuron"	2
"844"	"head"	"INCrossbow"	2	"interneuron"	2
"845"	"head"	"INarc1"	2	"interneuron"	2
"846"	"head"	"INarc2"	2	"interneuron"	2
"847"	"head"	"INrope"	2	"interneuron"	2
"848"	"head"	"INCM"	0	"interneuron"	2
"849"	"head"	"INchaeMech"	0	"interneuron"	2
"850"	"head"	"INFVa-pyg"	0	"interneuron"	2
"851"	"head"	"INsplitCRATO"	0	"interneuron"	2
"852"	"head"	"INMC3"	2	"interneuron"	2
"853"	"head"	"INbiax"	2	"interneuron"	2
"854"	"head"	"INsplitPB-RF/Ya"	0	"interneuron"	2
"855"	"head"	"INsplitPBant"	0	"interneuron"	2
"856"	"head"	"INhook"	2	"interneuron"	2
"857"	"head"	"INMBtype5"	2	"interneuron"	2
"858"	"head"	"INUturn"	2	"interneuron"	2
"859"	"head"	"INATOpyg"	0	"interneuron"	2
"860"	"head"	"INsplitBronto"	0	"interneuron"	2
"861"	"head"	"INleucoPU"	0	"interneuron"	2
"862"	"head"	"INdecussfoot"	2	"interneuron"	2
"863"	"head"	"INdecusshook"	2	"interneuron"	2
"864"	"head"	"INsplitVent"	0	"interneuron"	2
"865"	"head"	"INcomm-DownL"	0	"interneuron"	2
"866"	"head"	"INlasso-postSN"	2	"interneuron"	2
"867"	"head"	"INmus"	2	"interneuron"	2
"868"	"head"	"INdescLuqinPDF"	2	"interneuron"	2
"869"	"head"	"INcosplit"	0	"interneuron"	2
"870"	"head"	"INcommdescFVa"	0	"interneuron"	2
"871"	"head"	"INbiaxHmid"	0	"interneuron"	2
"872"	"head"	"INhorn"	2	"interneuron"	2
