"presynaptic"	"postsynaptic"	"synapses"
"146"	"PRC right"	"INsplitCR"	0
"147"	"PRC left"	"INsplitCRATO"	0
"148"	"PRC right"	"INsplitCRATO"	0
"149"	"PRC left"	"INMC3"	0
"150"	"PRC right"	"INMC3"	0
"151"	"PRC left"	"INbiax"	0
"152"	"PRC right"	"INbiax"	0
"153"	"PRC left"	"INsplitPB-RF/Ya"	0
"154"	"PRC right"	"INsplitPB-RF/Ya"	0
"155"	"PRC left"	"INsplitPBant"	0
"156"	"PRC right"	"INsplitPBant"	0
"157"	"PRC left"	"INsplitPB"	0
"158"	"PRC right"	"INsplitPB"	0
"159"	"PRC left"	"PB"	0
"160"	"PRC right"	"PB"	0
"161"	"PRC left"	"interparaPM1"	0
"162"	"PRC right"	"interparaPM1"	0
"163"	"PRC left"	"cioMNcover"	0
"164"	"PRC right"	"cioMNcover"	0
"165"	"PRC left"	"INsplitPUh"	0
"166"	"PRC right"	"INsplitPUh"	0
"167"	"PRC left"	"MN3"	0
"168"	"PRC right"	"MN3"	0
"169"	"PRC left"	"MN1"	0
"170"	"PRC right"	"MN1"	0
"171"	"PRC left"	"MN2"	0
"172"	"PRC right"	"MN2"	0
"173"	"PRC left"	"MC3cover"	0
"174"	"PRC right"	"MC3cover"	0
"175"	"PRC left"	"antPUc"	0
"176"	"PRC right"	"antPUc"	0
"177"	"PRC left"	"spinPU"	0
"178"	"PRC right"	"spinPU"	0
"179"	"PRC left"	"VentraltrunkPUunp"	0
"180"	"PRC right"	"VentraltrunkPUunp"	0
"181"	"PRC left"	"trochPU"	0
"182"	"PRC right"	"trochPU"	0
"183"	"PRC left"	"hPUc1"	0
"184"	"PRC right"	"hPUc1"	0
"185"	"PRC left"	"pygCirrusPUSM"	0
"186"	"PRC right"	"pygCirrusPUSM"	0
"187"	"PRC left"	"hCirrusPU"	0
"188"	"PRC right"	"hCirrusPU"	0
"189"	"PRC left"	"parapodPU"	0
"190"	"PRC right"	"parapodPU"	0
"191"	"PRC left"	"hPU"	0
"192"	"PRC right"	"hPU"	0
"193"	"PRC left"	"dsoPU"	0
"194"	"PRC right"	"dsoPU"	0
"195"	"PRC left"	"pygCirrusPU"	0
"196"	"PRC right"	"pygCirrusPU"	0
"197"	"PRC left"	"hPU2l-asymPDF"	0
"198"	"PRC right"	"hPU2l-asymPDF"	0
"199"	"PRC left"	"hCR"	0
"200"	"PRC right"	"hCR"	0
"201"	"PRC left"	"ventralpygCR"	0
"202"	"PRC right"	"ventralpygCR"	0
"203"	"PRC left"	"doCRunp"	0
"204"	"PRC right"	"doCRunp"	0
"205"	"PRC left"	"SN-DLSO1.0"	0
"206"	"PRC right"	"SN-DLSO1.0"	0
"207"	"PRC left"	"INdc"	0
"208"	"PRC right"	"INdc"	0
"209"	"PRC left"	"INbackcross"	0
"210"	"PRC right"	"INbackcross"	0
"211"	"PRC left"	"MNcommUpL"	0
"212"	"PRC right"	"MNcommUpL"	0
"213"	"PRC left"	"MNob-ipsi"	0
"214"	"PRC right"	"MNob-ipsi"	0
"215"	"PRC left"	"INbiaxLeg"	0
"216"	"PRC right"	"INbiaxLeg"	0
"217"	"PRC left"	"INbiaxH"	0
"218"	"PRC right"	"INbiaxH"	0
"219"	"PRC left"	"SN-NS1"	0
"220"	"PRC right"	"SN-NS1"	0
"221"	"PRC left"	"SN-NS3"	0
"222"	"PRC right"	"SN-NS3"	0
"223"	"PRC left"	"SN-NS4"	0
"224"	"PRC right"	"SN-NS4"	0
"225"	"PRC left"	"SN-NS15"	0
"226"	"PRC right"	"SN-NS15"	0
"227"	"PRC left"	"SNaant"	0
"228"	"PRC right"	"SNaant"	0
"229"	"PRC left"	"SNPDF-pyg"	0
"230"	"PRC right"	"SNPDF-pyg"	0
"231"	"PRC left"	"INfoot"	0
"232"	"PRC right"	"INfoot"	0
"233"	"PRC left"	"INW"	0
"234"	"PRC right"	"INW"	0
"235"	"PRC left"	"INmidL"	0
"236"	"PRC right"	"INmidL"	0
"237"	"PRC left"	"INhook"	0
"238"	"PRC right"	"INhook"	0
"239"	"PRC left"	"INMBtype6"	0
"240"	"PRC right"	"INMBtype6"	0
"241"	"PRC left"	"INMBtype5"	0
"242"	"PRC right"	"INMBtype5"	0
"243"	"PRC left"	"INMBtype7"	0
"244"	"PRC right"	"INMBtype7"	0
"245"	"PRC left"	"INcross"	0
"246"	"PRC right"	"INcross"	0
"247"	"PRC left"	"INpro"	0
"248"	"PRC right"	"INpro"	0
"249"	"PRC left"	"INproT2"	0
"250"	"PRC right"	"INproT2"	0
"251"	"PRC left"	"INpear"	0
"252"	"PRC right"	"INpear"	0
"253"	"PRC left"	"INZ"	0
"254"	"PRC right"	"INZ"	0
"255"	"PRC left"	"MNpostv"	0
"256"	"PRC right"	"MNpostv"	0
"257"	"PRC left"	"SN-NS22"	0
"258"	"PRC right"	"SN-NS22"	0
"259"	"PRC left"	"SN-NS5"	0
"260"	"PRC right"	"SN-NS5"	0
"261"	"PRC left"	"SN-NS17"	0
"262"	"PRC right"	"SN-NS17"	0
"263"	"PRC left"	"SN-YF5cil"	0
"264"	"PRC right"	"SN-YF5cil"	0
"265"	"PRC left"	"SN-NS19"	0
"266"	"PRC right"	"SN-NS19"	0
"267"	"PRC left"	"SN-NS20"	0
"268"	"PRC right"	"SN-NS20"	0
"269"	"PRC left"	"SN-NS6"	0
"270"	"PRC right"	"SN-NS6"	0
"271"	"PRC left"	"SN-NS29"	0
"272"	"PRC right"	"SN-NS29"	0
"273"	"PRC left"	"SN-NS27"	0
"274"	"PRC right"	"SN-NS27"	0
"275"	"PRC left"	"SN-NS18"	0
"276"	"PRC right"	"SN-NS18"	0
"277"	"PRC left"	"SN-NS16"	0
"278"	"PRC right"	"SN-NS16"	0
"279"	"PRC left"	"INbigloop"	1
"280"	"PRC right"	"INbigloop"	0
"281"	"PRC left"	"SNadNS22"	0
"282"	"PRC right"	"SNadNS22"	0
"283"	"PRC left"	"Ser-tr1"	0
"284"	"PRC right"	"Ser-tr1"	0
"285"	"PRC left"	"SNFVa"	0
"286"	"PRC right"	"SNFVa"	0
"287"	"PRC left"	"INUturn"	0
"288"	"PRC right"	"INUturn"	0
"289"	"PRC left"	"INATOpyg"	0
"290"	"PRC right"	"INATOpyg"	0
"291"	"PRC left"	"INcomm-Upstairs"	0
"292"	"PRC right"	"INcomm-Upstairs"	0
"293"	"PRC left"	"INasc-pyg"	0
"294"	"PRC right"	"INasc-pyg"	0
"295"	"PRC left"	"SNblunt"	0
"296"	"PRC right"	"SNblunt"	0
"297"	"PRC left"	"INsplitBronto"	0
"298"	"PRC right"	"INsplitBronto"	0
"299"	"PRC left"	"INleucoPU"	0
"300"	"PRC right"	"INleucoPU"	0
"301"	"PRC left"	"MNladder"	0
"302"	"PRC right"	"MNladder"	0
"303"	"PRC left"	"INdecussfoot"	0
"304"	"PRC right"	"INdecussfoot"	0
"305"	"PRC left"	"INdecusshook"	0
"306"	"PRC right"	"INdecusshook"	0
"307"	"PRC left"	"INpreLadder"	0
"308"	"PRC right"	"INpreLadder"	0
"309"	"PRC left"	"INcomm-Upcross"	0
"310"	"PRC right"	"INcomm-Upcross"	0
"311"	"PRC left"	"MNacic"	0
"312"	"PRC right"	"MNacic"	0
"313"	"PRC left"	"INsplitVent"	0
"314"	"PRC right"	"INsplitVent"	0
"315"	"PRC left"	"INcomm-DownL"	0
"316"	"PRC right"	"INcomm-DownL"	0
"317"	"PRC left"	"MNarm"	0
"318"	"PRC right"	"MNarm"	0
"319"	"PRC left"	"INlasso-postSN"	0
"320"	"PRC right"	"INlasso-postSN"	0
"321"	"PRC left"	"MNantacic"	0
"322"	"PRC right"	"MNantacic"	0
"323"	"PRC left"	"MNpostacic"	0
"324"	"PRC right"	"MNpostacic"	0
"325"	"PRC left"	"SN-DLSO1.3"	0
"326"	"PRC right"	"SN-DLSO1.3"	0
"327"	"PRC left"	"MNakro"	0
"328"	"PRC right"	"MNakro"	0
"329"	"PRC left"	"MNchae"	0
"330"	"PRC right"	"MNchae"	0
"331"	"PRC left"	"MNgland-head"	0
"332"	"PRC right"	"MNgland-head"	0
"333"	"PRC left"	"SNstiff"	0
"334"	"PRC right"	"SNstiff"	0
"335"	"PRC left"	"SNbronto"	0
"336"	"PRC right"	"SNbronto"	0
"337"	"PRC left"	"INcommascFV"	0
"338"	"PRC right"	"INcommascFV"	0
"339"	"PRC left"	"SNpygM"	0
"340"	"PRC right"	"SNpygM"	0
"341"	"PRC left"	"INR1"	7
"342"	"PRC right"	"INR1"	1
"343"	"PRC left"	"SN-DLSO1.1NP"	0
"344"	"PRC right"	"SN-DLSO1.1NP"	0
"345"	"PRC left"	"SN-DLSO1.1"	0
"346"	"PRC right"	"SN-DLSO1.1"	0
"347"	"PRC left"	"INmus"	0
"348"	"PRC right"	"INmus"	0
"349"	"PRC left"	"INdescLuqinPDF"	0
"350"	"PRC right"	"INdescLuqinPDF"	0
"351"	"PRC left"	"INcosplit"	0
"352"	"PRC right"	"INcosplit"	0
"353"	"PRC left"	"INcommdescFVa"	0
"354"	"PRC right"	"INcommdescFVa"	0
"355"	"PRC left"	"MNheadV"	0
"356"	"PRC right"	"MNheadV"	0
"357"	"PRC left"	"INsqNSasym"	0
"358"	"PRC right"	"INsqNSasym"	0
"359"	"PRC left"	"INbiaxHmid"	0
"360"	"PRC right"	"INbiaxHmid"	0
"361"	"PRC left"	"MNantelope"	0
"362"	"PRC right"	"MNantelope"	0
"363"	"PRC left"	"MNsmile"	0
"364"	"PRC right"	"MNsmile"	0
"365"	"PRC left"	"INhorn"	0
"366"	"PRC right"	"INhorn"	0
"367"	"PRC left"	"INMBPDF"	0
"368"	"PRC right"	"INMBPDF"	0
"369"	"PRC left"	"INMBdescFMRF"	0
"370"	"PRC right"	"INMBdescFMRF"	0
"371"	"PRC left"	"INDLSO"	0
"372"	"PRC right"	"INDLSO"	0
"373"	"PRC left"	"SNtorii"	0
"374"	"PRC right"	"SNtorii"	0
"375"	"PRC left"	"INexsn"	0
"376"	"PRC right"	"INexsn"	0
"377"	"PRC left"	"MBmouth"	0
"378"	"PRC right"	"MBmouth"	0
"379"	"PRC left"	"SNtrpa"	0
"380"	"PRC right"	"SNtrpa"	0
"381"	"PRC left"	"INtorii"	0
"382"	"PRC right"	"INtorii"	0
"383"	"PRC left"	"INUturnMB"	0
"384"	"PRC right"	"INUturnMB"	0
"385"	"PRC left"	"INface"	0
"386"	"PRC right"	"INface"	0
"387"	"PRC left"	"INMBdesc3"	0
"388"	"PRC right"	"INMBdesc3"	0
"389"	"PRC left"	"INMBdesc2"	0
"390"	"PRC right"	"INMBdesc2"	0
"391"	"PRC left"	"INpara"	0
"392"	"PRC right"	"INpara"	0
"393"	"PRC left"	"INMBtype9"	0
"394"	"PRC right"	"INMBtype9"	0
"395"	"PRC left"	"INMBtype2"	0
"396"	"PRC right"	"INMBtype2"	0
"397"	"PRC left"	"INdecussM"	0
"398"	"PRC right"	"INdecussM"	0
"399"	"PRC left"	"INiaStiff"	0
"400"	"PRC right"	"INiaStiff"	0
"401"	"PRC left"	"INmantis"	0
"402"	"PRC right"	"INmantis"	0
"403"	"PRC left"	"INsplitSpin"	0
"404"	"PRC right"	"INsplitSpin"	0
"405"	"IN1 left"	"PRC"	1
"406"	"IN1 right"	"PRC"	0
"407"	"IN1 left"	"IN1"	51
"408"	"IN1 right"	"IN1"	36
"409"	"IN1 left"	"INton"	13
"410"	"IN1 right"	"INton"	15
"411"	"IN1 left"	"INpreSer"	0
"412"	"IN1 right"	"INpreSer"	0
"413"	"IN1 left"	"cPRC"	0
"414"	"IN1 right"	"cPRC"	0
"415"	"IN1 left"	"INRGWa"	0
"416"	"IN1 right"	"INRGWa"	0
"417"	"IN1 left"	"INNOS"	0
"418"	"IN1 right"	"INNOS"	0
"419"	"IN1 left"	"Ser-h1"	0
"420"	"IN1 right"	"Ser-h1"	0
"421"	"IN1 left"	"MC"	0
"422"	"IN1 right"	"MC"	0
"423"	"IN1 left"	"cMNPDF-vcl1"	0
"424"	"IN1 right"	"cMNPDF-vcl1"	0
"425"	"IN1 left"	"cMNATO"	0
"426"	"IN1 right"	"cMNATO"	0
"427"	"IN1 left"	"cMNdc"	0
"428"	"IN1 right"	"cMNdc"	0
"429"	"IN1 left"	"SNnuchPDF"	0
"430"	"IN1 right"	"SNnuchPDF"	0
"431"	"IN1 left"	"SNnuchNS"	0
"432"	"IN1 right"	"SNnuchNS"	0
"433"	"IN1 left"	"SNnuchBx"	0
"434"	"IN1 right"	"SNnuchBx"	0
"435"	"IN1 left"	"SNgolden"	0
"436"	"IN1 right"	"SNgolden"	0
"437"	"IN1 left"	"SNhorn"	0
"438"	"IN1 right"	"SNhorn"	0
"439"	"IN1 left"	"SNhook"	0
"440"	"IN1 right"	"SNhook"	0
"441"	"IN1 left"	"MNant"	0
"442"	"IN1 right"	"MNant"	0
"443"	"IN1 left"	"SNlasso"	0
"444"	"IN1 right"	"SNlasso"	0
"445"	"IN1 left"	"INlasso"	0
"446"	"IN1 right"	"INlasso"	0
"447"	"IN1 left"	"INdecussPre"	0
"448"	"IN1 right"	"INdecussPre"	0
"449"	"IN1 left"	"INpreMN"	0
"450"	"IN1 right"	"INpreMN"	0
"451"	"IN1 left"	"SNMIP-vc"	0
"452"	"IN1 right"	"SNMIP-vc"	0
"453"	"IN1 left"	"SNmus"	0
"454"	"IN1 right"	"SNmus"	0
"455"	"IN1 left"	"SNantlerPDF"	0
"456"	"IN1 right"	"SNantlerPDF"	0
"457"	"IN1 left"	"SNPDF-dc"	0
"458"	"IN1 right"	"SNPDF-dc"	0
"459"	"IN1 left"	"SN0DLSO1.2-4"	0
"460"	"IN1 right"	"SN0DLSO1.2-4"	0
"461"	"IN1 left"	"SN-DLSO1.2-3"	0
"462"	"IN1 right"	"SN-DLSO1.2-3"	0
"463"	"IN1 left"	"SN-DLSO1.2-1"	0
"464"	"IN1 right"	"SN-DLSO1.2-1"	0
"465"	"IN1 left"	"SN-DLSO2"	0
"466"	"IN1 right"	"SN-DLSO2"	0
"467"	"IN1 left"	"SNMB2"	0
"468"	"IN1 right"	"SNMB2"	0
"469"	"IN1 left"	"eyespot-PRCR3"	0
