"presynaptic"	"postsynaptic"	"synapses"
"11216"	"eyespot-PRCR3 right"	"INpreLadder"	0
"11217"	"eyespot-PRCR3 left"	"INcomm-Upcross"	0
"11218"	"eyespot-PRCR3 right"	"INcomm-Upcross"	0
"11219"	"eyespot-PRCR3 left"	"MNacic"	0
"11220"	"eyespot-PRCR3 right"	"MNacic"	0
"11221"	"eyespot-PRCR3 left"	"INsplitVent"	0
"11222"	"eyespot-PRCR3 right"	"INsplitVent"	0
"11223"	"eyespot-PRCR3 left"	"INcomm-DownL"	0
"11224"	"eyespot-PRCR3 right"	"INcomm-DownL"	0
"11225"	"eyespot-PRCR3 left"	"MNarm"	0
"11226"	"eyespot-PRCR3 right"	"MNarm"	0
"11227"	"eyespot-PRCR3 left"	"INlasso-postSN"	0
"11228"	"eyespot-PRCR3 right"	"INlasso-postSN"	0
"11229"	"eyespot-PRCR3 left"	"MNantacic"	0
"11230"	"eyespot-PRCR3 right"	"MNantacic"	0
"11231"	"eyespot-PRCR3 left"	"MNpostacic"	0
"11232"	"eyespot-PRCR3 right"	"MNpostacic"	0
"11233"	"eyespot-PRCR3 left"	"SN-DLSO1.3"	0
"11234"	"eyespot-PRCR3 right"	"SN-DLSO1.3"	0
"11235"	"eyespot-PRCR3 left"	"MNakro"	0
"11236"	"eyespot-PRCR3 right"	"MNakro"	0
"11237"	"eyespot-PRCR3 left"	"MNchae"	0
"11238"	"eyespot-PRCR3 right"	"MNchae"	0
"11239"	"eyespot-PRCR3 left"	"MNgland-head"	0
"11240"	"eyespot-PRCR3 right"	"MNgland-head"	0
"11241"	"eyespot-PRCR3 left"	"SNstiff"	0
"11242"	"eyespot-PRCR3 right"	"SNstiff"	0
"11243"	"eyespot-PRCR3 left"	"SNbronto"	0
"11244"	"eyespot-PRCR3 right"	"SNbronto"	0
"11245"	"eyespot-PRCR3 left"	"INcommascFV"	0
"11246"	"eyespot-PRCR3 right"	"INcommascFV"	0
"11247"	"eyespot-PRCR3 left"	"SNpygM"	0
"11248"	"eyespot-PRCR3 right"	"SNpygM"	0
"11249"	"eyespot-PRCR3 left"	"INR1"	0
"11250"	"eyespot-PRCR3 right"	"INR1"	0
"11251"	"eyespot-PRCR3 left"	"SN-DLSO1.1NP"	0
"11252"	"eyespot-PRCR3 right"	"SN-DLSO1.1NP"	0
"11253"	"eyespot-PRCR3 left"	"SN-DLSO1.1"	0
"11254"	"eyespot-PRCR3 right"	"SN-DLSO1.1"	0
"11255"	"eyespot-PRCR3 left"	"INmus"	0
"11256"	"eyespot-PRCR3 right"	"INmus"	0
"11257"	"eyespot-PRCR3 left"	"INdescLuqinPDF"	0
"11258"	"eyespot-PRCR3 right"	"INdescLuqinPDF"	0
"11259"	"eyespot-PRCR3 left"	"INcosplit"	0
"11260"	"eyespot-PRCR3 right"	"INcosplit"	0
"11261"	"eyespot-PRCR3 left"	"INcommdescFVa"	0
"11262"	"eyespot-PRCR3 right"	"INcommdescFVa"	0
"11263"	"eyespot-PRCR3 left"	"MNheadV"	0
"11264"	"eyespot-PRCR3 right"	"MNheadV"	0
"11265"	"eyespot-PRCR3 left"	"INsqNSasym"	0
"11266"	"eyespot-PRCR3 right"	"INsqNSasym"	0
"11267"	"eyespot-PRCR3 left"	"INbiaxHmid"	0
"11268"	"eyespot-PRCR3 right"	"INbiaxHmid"	0
"11269"	"eyespot-PRCR3 left"	"MNantelope"	0
"11270"	"eyespot-PRCR3 right"	"MNantelope"	0
"11271"	"eyespot-PRCR3 left"	"MNsmile"	0
"11272"	"eyespot-PRCR3 right"	"MNsmile"	0
"11273"	"eyespot-PRCR3 left"	"INhorn"	0
"11274"	"eyespot-PRCR3 right"	"INhorn"	0
"11275"	"eyespot-PRCR3 left"	"INMBPDF"	0
"11276"	"eyespot-PRCR3 right"	"INMBPDF"	0
"11277"	"eyespot-PRCR3 left"	"INMBdescFMRF"	0
"11278"	"eyespot-PRCR3 right"	"INMBdescFMRF"	0
"11279"	"eyespot-PRCR3 left"	"INDLSO"	0
"11280"	"eyespot-PRCR3 right"	"INDLSO"	0
"11281"	"eyespot-PRCR3 left"	"SNtorii"	0
"11282"	"eyespot-PRCR3 right"	"SNtorii"	0
"11283"	"eyespot-PRCR3 left"	"INexsn"	0
"11284"	"eyespot-PRCR3 right"	"INexsn"	0
"11285"	"eyespot-PRCR3 left"	"MBmouth"	0
"11286"	"eyespot-PRCR3 right"	"MBmouth"	0
"11287"	"eyespot-PRCR3 left"	"SNtrpa"	0
"11288"	"eyespot-PRCR3 right"	"SNtrpa"	0
"11289"	"eyespot-PRCR3 left"	"INtorii"	0
"11290"	"eyespot-PRCR3 right"	"INtorii"	0
"11291"	"eyespot-PRCR3 left"	"INUturnMB"	0
"11292"	"eyespot-PRCR3 right"	"INUturnMB"	0
"11293"	"eyespot-PRCR3 left"	"INface"	0
"11294"	"eyespot-PRCR3 right"	"INface"	0
"11295"	"eyespot-PRCR3 left"	"INMBdesc3"	0
"11296"	"eyespot-PRCR3 right"	"INMBdesc3"	0
"11297"	"eyespot-PRCR3 left"	"INMBdesc2"	0
"11298"	"eyespot-PRCR3 right"	"INMBdesc2"	0
"11299"	"eyespot-PRCR3 left"	"INpara"	0
"11300"	"eyespot-PRCR3 right"	"INpara"	0
"11301"	"eyespot-PRCR3 left"	"INMBtype9"	0
"11302"	"eyespot-PRCR3 right"	"INMBtype9"	0
"11303"	"eyespot-PRCR3 left"	"INMBtype2"	0
"11304"	"eyespot-PRCR3 right"	"INMBtype2"	0
"11305"	"eyespot-PRCR3 left"	"INdecussM"	0
"11306"	"eyespot-PRCR3 right"	"INdecussM"	0
"11307"	"eyespot-PRCR3 left"	"INiaStiff"	0
"11308"	"eyespot-PRCR3 right"	"INiaStiff"	0
"11309"	"eyespot-PRCR3 left"	"INmantis"	0
"11310"	"eyespot-PRCR3 right"	"INmantis"	0
"11311"	"eyespot-PRCR3 left"	"INsplitSpin"	0
"11312"	"eyespot-PRCR3 right"	"INsplitSpin"	0
"11313"	"eyespot-PRCR1 left"	"PRC"	0
"11314"	"eyespot-PRCR1 right"	"PRC"	0
"11315"	"eyespot-PRCR1 left"	"IN1"	1
"11316"	"eyespot-PRCR1 right"	"IN1"	2
"11317"	"eyespot-PRCR1 left"	"INton"	0
"11318"	"eyespot-PRCR1 right"	"INton"	0
"11319"	"eyespot-PRCR1 left"	"INpreSer"	0
"11320"	"eyespot-PRCR1 right"	"INpreSer"	0
"11321"	"eyespot-PRCR1 left"	"cPRC"	0
"11322"	"eyespot-PRCR1 right"	"cPRC"	0
"11323"	"eyespot-PRCR1 left"	"INRGWa"	0
"11324"	"eyespot-PRCR1 right"	"INRGWa"	0
"11325"	"eyespot-PRCR1 left"	"INNOS"	0
"11326"	"eyespot-PRCR1 right"	"INNOS"	0
"11327"	"eyespot-PRCR1 left"	"Ser-h1"	0
"11328"	"eyespot-PRCR1 right"	"Ser-h1"	0
"11329"	"eyespot-PRCR1 left"	"MC"	0
"11330"	"eyespot-PRCR1 right"	"MC"	0
"11331"	"eyespot-PRCR1 left"	"cMNPDF-vcl1"	0
"11332"	"eyespot-PRCR1 right"	"cMNPDF-vcl1"	0
"11333"	"eyespot-PRCR1 left"	"cMNATO"	0
"11334"	"eyespot-PRCR1 right"	"cMNATO"	0
"11335"	"eyespot-PRCR1 left"	"cMNdc"	0
"11336"	"eyespot-PRCR1 right"	"cMNdc"	0
"11337"	"eyespot-PRCR1 left"	"SNnuchPDF"	0
"11338"	"eyespot-PRCR1 right"	"SNnuchPDF"	0
"11339"	"eyespot-PRCR1 left"	"SNnuchNS"	0
"11340"	"eyespot-PRCR1 right"	"SNnuchNS"	0
"11341"	"eyespot-PRCR1 left"	"SNnuchBx"	0
"11342"	"eyespot-PRCR1 right"	"SNnuchBx"	0
"11343"	"eyespot-PRCR1 left"	"SNgolden"	0
"11344"	"eyespot-PRCR1 right"	"SNgolden"	0
"11345"	"eyespot-PRCR1 left"	"SNhorn"	0
"11346"	"eyespot-PRCR1 right"	"SNhorn"	0
"11347"	"eyespot-PRCR1 left"	"SNhook"	0
"11348"	"eyespot-PRCR1 right"	"SNhook"	0
"11349"	"eyespot-PRCR1 left"	"MNant"	0
"11350"	"eyespot-PRCR1 right"	"MNant"	0
"11351"	"eyespot-PRCR1 left"	"SNlasso"	0
"11352"	"eyespot-PRCR1 right"	"SNlasso"	0
"11353"	"eyespot-PRCR1 left"	"INlasso"	0
"11354"	"eyespot-PRCR1 right"	"INlasso"	0
"11355"	"eyespot-PRCR1 left"	"INdecussPre"	0
"11356"	"eyespot-PRCR1 right"	"INdecussPre"	0
"11357"	"eyespot-PRCR1 left"	"INpreMN"	0
"11358"	"eyespot-PRCR1 right"	"INpreMN"	0
"11359"	"eyespot-PRCR1 left"	"SNMIP-vc"	0
"11360"	"eyespot-PRCR1 right"	"SNMIP-vc"	0
"11361"	"eyespot-PRCR1 left"	"SNmus"	0
"11362"	"eyespot-PRCR1 right"	"SNmus"	0
"11363"	"eyespot-PRCR1 left"	"SNantlerPDF"	0
"11364"	"eyespot-PRCR1 right"	"SNantlerPDF"	0
"11365"	"eyespot-PRCR1 left"	"SNPDF-dc"	0
"11366"	"eyespot-PRCR1 right"	"SNPDF-dc"	0
"11367"	"eyespot-PRCR1 left"	"SN0DLSO1.2-4"	0
"11368"	"eyespot-PRCR1 right"	"SN0DLSO1.2-4"	0
"11369"	"eyespot-PRCR1 left"	"SN-DLSO1.2-3"	0
"11370"	"eyespot-PRCR1 right"	"SN-DLSO1.2-3"	0
"11371"	"eyespot-PRCR1 left"	"SN-DLSO1.2-1"	0
"11372"	"eyespot-PRCR1 right"	"SN-DLSO1.2-1"	0
"11373"	"eyespot-PRCR1 left"	"SN-DLSO2"	0
"11374"	"eyespot-PRCR1 right"	"SN-DLSO2"	0
"11375"	"eyespot-PRCR1 left"	"SNMB2"	0
"11376"	"eyespot-PRCR1 right"	"SNMB2"	0
"11377"	"eyespot-PRCR1 left"	"eyespot-PRCR3"	0
"11378"	"eyespot-PRCR1 right"	"eyespot-PRCR3"	0
"11379"	"eyespot-PRCR1 left"	"eyespot-PRCR1"	0
"11380"	"eyespot-PRCR1 right"	"eyespot-PRCR1"	0
"11381"	"eyespot-PRCR1 left"	"MS1"	0
"11382"	"eyespot-PRCR1 right"	"MS1"	0
"11383"	"eyespot-PRCR1 left"	"MS4"	0
"11384"	"eyespot-PRCR1 right"	"MS4"	0
"11385"	"eyespot-PRCR1 left"	"MS3"	0
"11386"	"eyespot-PRCR1 right"	"MS3"	0
"11387"	"eyespot-PRCR1 left"	"MS5"	0
"11388"	"eyespot-PRCR1 right"	"MS5"	0
"11389"	"eyespot-PRCR1 left"	"SN-ASTC"	0
"11390"	"eyespot-PRCR1 right"	"SN-ASTC"	0
"11391"	"eyespot-PRCR1 left"	"SN-DLSO3-PDF"	0
"11392"	"eyespot-PRCR1 right"	"SN-DLSO3-PDF"	0
"11393"	"eyespot-PRCR1 left"	"SN-DLSO3"	0
"11394"	"eyespot-PRCR1 right"	"SN-DLSO3"	0
"11395"	"eyespot-PRCR1 left"	"MC2biax-1"	0
"11396"	"eyespot-PRCR1 right"	"MC2biax-1"	0
"11397"	"eyespot-PRCR1 left"	"SN-IRP2-burs"	0
"11398"	"eyespot-PRCR1 right"	"SN-IRP2-burs"	0
"11399"	"eyespot-PRCR1 left"	"SN-IRP2-FMRF"	0
"11400"	"eyespot-PRCR1 right"	"SN-IRP2-FMRF"	0
"11401"	"eyespot-PRCR1 left"	"SN-MIP4"	0
"11402"	"eyespot-PRCR1 right"	"SN-MIP4"	0
"11403"	"eyespot-PRCR1 left"	"SN-MIP1"	0
"11404"	"eyespot-PRCR1 right"	"SN-MIP1"	0
"11405"	"eyespot-PRCR1 left"	"MNspinning"	0
"11406"	"eyespot-PRCR1 right"	"MNspinning"	0
"11407"	"eyespot-PRCR1 left"	"SN-WLD"	0
"11408"	"eyespot-PRCR1 right"	"SN-WLD"	0
"11409"	"eyespot-PRCR1 left"	"SN-DSO"	0
"11410"	"eyespot-PRCR1 right"	"SN-DSO"	0
"11411"	"eyespot-PRCR1 left"	"SNbicil"	0
"11412"	"eyespot-PRCR1 right"	"SNbicil"	0
"11413"	"eyespot-PRCR1 left"	"SNasym"	0
"11414"	"eyespot-PRCR1 right"	"SNasym"	0
"11415"	"eyespot-PRCR1 left"	"SN47Ach"	0
"11416"	"eyespot-PRCR1 right"	"SN47Ach"	0
"11417"	"eyespot-PRCR1 left"	"INCrossbow"	0
"11418"	"eyespot-PRCR1 right"	"INCrossbow"	0
"11419"	"eyespot-PRCR1 left"	"pygPBunp"	1
"11420"	"eyespot-PRCR1 right"	"pygPBunp"	0
"11421"	"eyespot-PRCR1 left"	"INarc1"	0
"11422"	"eyespot-PRCR1 right"	"INarc1"	4
"11423"	"eyespot-PRCR1 left"	"INarc2"	0
"11424"	"eyespot-PRCR1 right"	"INarc2"	0
"11425"	"eyespot-PRCR1 left"	"INsn"	0
"11426"	"eyespot-PRCR1 right"	"INsn"	0
"11427"	"eyespot-PRCR1 left"	"INrope"	0
"11428"	"eyespot-PRCR1 right"	"INrope"	0
"11429"	"eyespot-PRCR1 left"	"Loop"	0
"11430"	"eyespot-PRCR1 right"	"Loop"	0
"11431"	"eyespot-PRCR1 left"	"INCM"	0
"11432"	"eyespot-PRCR1 right"	"INCM"	0
"11433"	"eyespot-PRCR1 left"	"MNspider-ant"	0
"11434"	"eyespot-PRCR1 right"	"MNspider-ant"	0
"11435"	"eyespot-PRCR1 left"	"MNspider-post"	0
"11436"	"eyespot-PRCR1 right"	"MNspider-post"	0
"11437"	"eyespot-PRCR1 left"	"MNbiramous"	0
"11438"	"eyespot-PRCR1 right"	"MNbiramous"	0
"11439"	"eyespot-PRCR1 left"	"MNring"	0
"11440"	"eyespot-PRCR1 right"	"MNring"	0
"11441"	"eyespot-PRCR1 left"	"MNcrab"	0
"11442"	"eyespot-PRCR1 right"	"MNcrab"	0
"11443"	"eyespot-PRCR1 left"	"MNhose"	0
"11444"	"eyespot-PRCR1 right"	"MNhose"	0
"11445"	"eyespot-PRCR1 left"	"MNbow"	0
"11446"	"eyespot-PRCR1 right"	"MNbow"	0
"11447"	"eyespot-PRCR1 left"	"MNwave"	0
"11448"	"eyespot-PRCR1 right"	"MNwave"	0
"11449"	"eyespot-PRCR1 left"	"MNacicX"	0
"11450"	"eyespot-PRCR1 right"	"MNacicX"	0
"11451"	"eyespot-PRCR1 left"	"INchaeMech"	0
"11452"	"eyespot-PRCR1 right"	"INchaeMech"	0
"11453"	"eyespot-PRCR1 left"	"chaeMech"	0
"11454"	"eyespot-PRCR1 right"	"chaeMech"	0
"11455"	"eyespot-PRCR1 left"	"INFVa-pyg"	0
"11456"	"eyespot-PRCR1 right"	"INFVa-pyg"	0
"11457"	"eyespot-PRCR1 left"	"INsplitCR"	0
"11458"	"eyespot-PRCR1 right"	"INsplitCR"	0
"11459"	"eyespot-PRCR1 left"	"INsplitCRATO"	0
"11460"	"eyespot-PRCR1 right"	"INsplitCRATO"	0
"11461"	"eyespot-PRCR1 left"	"INMC3"	0
"11462"	"eyespot-PRCR1 right"	"INMC3"	0
"11463"	"eyespot-PRCR1 left"	"INbiax"	0
"11464"	"eyespot-PRCR1 right"	"INbiax"	0
"11465"	"eyespot-PRCR1 left"	"INsplitPB-RF/Ya"	0
"11466"	"eyespot-PRCR1 right"	"INsplitPB-RF/Ya"	0
"11467"	"eyespot-PRCR1 left"	"INsplitPBant"	0
"11468"	"eyespot-PRCR1 right"	"INsplitPBant"	0
"11469"	"eyespot-PRCR1 left"	"INsplitPB"	0
"11470"	"eyespot-PRCR1 right"	"INsplitPB"	0
"11471"	"eyespot-PRCR1 left"	"PB"	0
"11472"	"eyespot-PRCR1 right"	"PB"	0
"11473"	"eyespot-PRCR1 left"	"interparaPM1"	0
"11474"	"eyespot-PRCR1 right"	"interparaPM1"	0
"11475"	"eyespot-PRCR1 left"	"cioMNcover"	0
"11476"	"eyespot-PRCR1 right"	"cioMNcover"	0
"11477"	"eyespot-PRCR1 left"	"INsplitPUh"	0
"11478"	"eyespot-PRCR1 right"	"INsplitPUh"	0
"11479"	"eyespot-PRCR1 left"	"MN3"	0
"11480"	"eyespot-PRCR1 right"	"MN3"	0
"11481"	"eyespot-PRCR1 left"	"MN1"	0
"11482"	"eyespot-PRCR1 right"	"MN1"	0
"11483"	"eyespot-PRCR1 left"	"MN2"	0
"11484"	"eyespot-PRCR1 right"	"MN2"	0
"11485"	"eyespot-PRCR1 left"	"MC3cover"	0
"11486"	"eyespot-PRCR1 right"	"MC3cover"	0
"11487"	"eyespot-PRCR1 left"	"antPUc"	0
"11488"	"eyespot-PRCR1 right"	"antPUc"	0
"11489"	"eyespot-PRCR1 left"	"spinPU"	0
"11490"	"eyespot-PRCR1 right"	"spinPU"	0
"11491"	"eyespot-PRCR1 left"	"VentraltrunkPUunp"	0
"11492"	"eyespot-PRCR1 right"	"VentraltrunkPUunp"	0
"11493"	"eyespot-PRCR1 left"	"trochPU"	0
"11494"	"eyespot-PRCR1 right"	"trochPU"	0
"11495"	"eyespot-PRCR1 left"	"hPUc1"	0
"11496"	"eyespot-PRCR1 right"	"hPUc1"	0
"11497"	"eyespot-PRCR1 left"	"pygCirrusPUSM"	0
"11498"	"eyespot-PRCR1 right"	"pygCirrusPUSM"	0
"11499"	"eyespot-PRCR1 left"	"hCirrusPU"	0
"11500"	"eyespot-PRCR1 right"	"hCirrusPU"	0
"11501"	"eyespot-PRCR1 left"	"parapodPU"	0
"11502"	"eyespot-PRCR1 right"	"parapodPU"	0
"11503"	"eyespot-PRCR1 left"	"hPU"	0
"11504"	"eyespot-PRCR1 right"	"hPU"	0
"11505"	"eyespot-PRCR1 left"	"dsoPU"	0
"11506"	"eyespot-PRCR1 right"	"dsoPU"	0
"11507"	"eyespot-PRCR1 left"	"pygCirrusPU"	0
"11508"	"eyespot-PRCR1 right"	"pygCirrusPU"	0
"11509"	"eyespot-PRCR1 left"	"hPU2l-asymPDF"	0
"11510"	"eyespot-PRCR1 right"	"hPU2l-asymPDF"	0
"11511"	"eyespot-PRCR1 left"	"hCR"	0
"11512"	"eyespot-PRCR1 right"	"hCR"	0
"11513"	"eyespot-PRCR1 left"	"ventralpygCR"	0
"11514"	"eyespot-PRCR1 right"	"ventralpygCR"	0
"11515"	"eyespot-PRCR1 left"	"doCRunp"	0
"11516"	"eyespot-PRCR1 right"	"doCRunp"	0
"11517"	"eyespot-PRCR1 left"	"SN-DLSO1.0"	0
"11518"	"eyespot-PRCR1 right"	"SN-DLSO1.0"	0
"11519"	"eyespot-PRCR1 left"	"INdc"	1
"11520"	"eyespot-PRCR1 right"	"INdc"	0
"11521"	"eyespot-PRCR1 left"	"INbackcross"	0
"11522"	"eyespot-PRCR1 right"	"INbackcross"	0
"11523"	"eyespot-PRCR1 left"	"MNcommUpL"	0
"11524"	"eyespot-PRCR1 right"	"MNcommUpL"	0
"11525"	"eyespot-PRCR1 left"	"MNob-ipsi"	0
"11526"	"eyespot-PRCR1 right"	"MNob-ipsi"	0
"11527"	"eyespot-PRCR1 left"	"INbiaxLeg"	0
"11528"	"eyespot-PRCR1 right"	"INbiaxLeg"	0
"11529"	"eyespot-PRCR1 left"	"INbiaxH"	0
"11530"	"eyespot-PRCR1 right"	"INbiaxH"	0
"11531"	"eyespot-PRCR1 left"	"SN-NS1"	0
"11532"	"eyespot-PRCR1 right"	"SN-NS1"	0
"11533"	"eyespot-PRCR1 left"	"SN-NS3"	0
"11534"	"eyespot-PRCR1 right"	"SN-NS3"	0
"11535"	"eyespot-PRCR1 left"	"SN-NS4"	0
"11536"	"eyespot-PRCR1 right"	"SN-NS4"	0
"11537"	"eyespot-PRCR1 left"	"SN-NS15"	0
"11538"	"eyespot-PRCR1 right"	"SN-NS15"	0
"11539"	"eyespot-PRCR1 left"	"SNaant"	0
"11540"	"eyespot-PRCR1 right"	"SNaant"	0
"11541"	"eyespot-PRCR1 left"	"SNPDF-pyg"	0
"11542"	"eyespot-PRCR1 right"	"SNPDF-pyg"	0
"11543"	"eyespot-PRCR1 left"	"INfoot"	0
"11544"	"eyespot-PRCR1 right"	"INfoot"	0
"11545"	"eyespot-PRCR1 left"	"INW"	0
"11546"	"eyespot-PRCR1 right"	"INW"	0
"11547"	"eyespot-PRCR1 left"	"INmidL"	0
"11548"	"eyespot-PRCR1 right"	"INmidL"	0
"11549"	"eyespot-PRCR1 left"	"INhook"	0
"11550"	"eyespot-PRCR1 right"	"INhook"	0
"11551"	"eyespot-PRCR1 left"	"INMBtype6"	0
"11552"	"eyespot-PRCR1 right"	"INMBtype6"	0
"11553"	"eyespot-PRCR1 left"	"INMBtype5"	0
"11554"	"eyespot-PRCR1 right"	"INMBtype5"	0
"11555"	"eyespot-PRCR1 left"	"INMBtype7"	0
"11556"	"eyespot-PRCR1 right"	"INMBtype7"	0
"11557"	"eyespot-PRCR1 left"	"INcross"	0
"11558"	"eyespot-PRCR1 right"	"INcross"	0
"11559"	"eyespot-PRCR1 left"	"INpro"	0
"11560"	"eyespot-PRCR1 right"	"INpro"	0
"11561"	"eyespot-PRCR1 left"	"INproT2"	0
"11562"	"eyespot-PRCR1 right"	"INproT2"	0
"11563"	"eyespot-PRCR1 left"	"INpear"	0
"11564"	"eyespot-PRCR1 right"	"INpear"	0
"11565"	"eyespot-PRCR1 left"	"INZ"	0
"11566"	"eyespot-PRCR1 right"	"INZ"	0
"11567"	"eyespot-PRCR1 left"	"MNpostv"	0
"11568"	"eyespot-PRCR1 right"	"MNpostv"	0
"11569"	"eyespot-PRCR1 left"	"SN-NS22"	0
"11570"	"eyespot-PRCR1 right"	"SN-NS22"	0
"11571"	"eyespot-PRCR1 left"	"SN-NS5"	0
"11572"	"eyespot-PRCR1 right"	"SN-NS5"	0
"11573"	"eyespot-PRCR1 left"	"SN-NS17"	0
"11574"	"eyespot-PRCR1 right"	"SN-NS17"	0
"11575"	"eyespot-PRCR1 left"	"SN-YF5cil"	0
"11576"	"eyespot-PRCR1 right"	"SN-YF5cil"	0
"11577"	"eyespot-PRCR1 left"	"SN-NS19"	0
"11578"	"eyespot-PRCR1 right"	"SN-NS19"	0
"11579"	"eyespot-PRCR1 left"	"SN-NS20"	0
"11580"	"eyespot-PRCR1 right"	"SN-NS20"	0
"11581"	"eyespot-PRCR1 left"	"SN-NS6"	0
"11582"	"eyespot-PRCR1 right"	"SN-NS6"	0
"11583"	"eyespot-PRCR1 left"	"SN-NS29"	0
"11584"	"eyespot-PRCR1 right"	"SN-NS29"	0
"11585"	"eyespot-PRCR1 left"	"SN-NS27"	0
"11586"	"eyespot-PRCR1 right"	"SN-NS27"	0
"11587"	"eyespot-PRCR1 left"	"SN-NS18"	0
"11588"	"eyespot-PRCR1 right"	"SN-NS18"	0
"11589"	"eyespot-PRCR1 left"	"SN-NS16"	0
"11590"	"eyespot-PRCR1 right"	"SN-NS16"	0
"11591"	"eyespot-PRCR1 left"	"INbigloop"	0
"11592"	"eyespot-PRCR1 right"	"INbigloop"	1
"11593"	"eyespot-PRCR1 left"	"SNadNS22"	0
"11594"	"eyespot-PRCR1 right"	"SNadNS22"	0
"11595"	"eyespot-PRCR1 left"	"Ser-tr1"	0
"11596"	"eyespot-PRCR1 right"	"Ser-tr1"	0
"11597"	"eyespot-PRCR1 left"	"SNFVa"	0
"11598"	"eyespot-PRCR1 right"	"SNFVa"	0
"11599"	"eyespot-PRCR1 left"	"INUturn"	0
"11600"	"eyespot-PRCR1 right"	"INUturn"	0
"11601"	"eyespot-PRCR1 left"	"INATOpyg"	0
"11602"	"eyespot-PRCR1 right"	"INATOpyg"	0
"11603"	"eyespot-PRCR1 left"	"INcomm-Upstairs"	0
"11604"	"eyespot-PRCR1 right"	"INcomm-Upstairs"	0
"11605"	"eyespot-PRCR1 left"	"INasc-pyg"	0
"11606"	"eyespot-PRCR1 right"	"INasc-pyg"	0
"11607"	"eyespot-PRCR1 left"	"SNblunt"	0
"11608"	"eyespot-PRCR1 right"	"SNblunt"	0
"11609"	"eyespot-PRCR1 left"	"INsplitBronto"	0
"11610"	"eyespot-PRCR1 right"	"INsplitBronto"	0
"11611"	"eyespot-PRCR1 left"	"INleucoPU"	0
"11612"	"eyespot-PRCR1 right"	"INleucoPU"	0
"11613"	"eyespot-PRCR1 left"	"MNladder"	0
"11614"	"eyespot-PRCR1 right"	"MNladder"	0
"11615"	"eyespot-PRCR1 left"	"INdecussfoot"	0
"11616"	"eyespot-PRCR1 right"	"INdecussfoot"	0
"11617"	"eyespot-PRCR1 left"	"INdecusshook"	0
"11618"	"eyespot-PRCR1 right"	"INdecusshook"	0
"11619"	"eyespot-PRCR1 left"	"INpreLadder"	0
"11620"	"eyespot-PRCR1 right"	"INpreLadder"	0
"11621"	"eyespot-PRCR1 left"	"INcomm-Upcross"	0
"11622"	"eyespot-PRCR1 right"	"INcomm-Upcross"	1
"11623"	"eyespot-PRCR1 left"	"MNacic"	0
"11624"	"eyespot-PRCR1 right"	"MNacic"	0
"11625"	"eyespot-PRCR1 left"	"INsplitVent"	0
"11626"	"eyespot-PRCR1 right"	"INsplitVent"	0
"11627"	"eyespot-PRCR1 left"	"INcomm-DownL"	0
"11628"	"eyespot-PRCR1 right"	"INcomm-DownL"	0
"11629"	"eyespot-PRCR1 left"	"MNarm"	0
"11630"	"eyespot-PRCR1 right"	"MNarm"	0
"11631"	"eyespot-PRCR1 left"	"INlasso-postSN"	0
"11632"	"eyespot-PRCR1 right"	"INlasso-postSN"	0
"11633"	"eyespot-PRCR1 left"	"MNantacic"	0
"11634"	"eyespot-PRCR1 right"	"MNantacic"	0
"11635"	"eyespot-PRCR1 left"	"MNpostacic"	0
"11636"	"eyespot-PRCR1 right"	"MNpostacic"	0
"11637"	"eyespot-PRCR1 left"	"SN-DLSO1.3"	0
"11638"	"eyespot-PRCR1 right"	"SN-DLSO1.3"	0
"11639"	"eyespot-PRCR1 left"	"MNakro"	0
"11640"	"eyespot-PRCR1 right"	"MNakro"	0
"11641"	"eyespot-PRCR1 left"	"MNchae"	0
"11642"	"eyespot-PRCR1 right"	"MNchae"	0
"11643"	"eyespot-PRCR1 left"	"MNgland-head"	0
"11644"	"eyespot-PRCR1 right"	"MNgland-head"	0
"11645"	"eyespot-PRCR1 left"	"SNstiff"	0
"11646"	"eyespot-PRCR1 right"	"SNstiff"	0
"11647"	"eyespot-PRCR1 left"	"SNbronto"	0
"11648"	"eyespot-PRCR1 right"	"SNbronto"	0
"11649"	"eyespot-PRCR1 left"	"INcommascFV"	0
"11650"	"eyespot-PRCR1 right"	"INcommascFV"	0
"11651"	"eyespot-PRCR1 left"	"SNpygM"	0
"11652"	"eyespot-PRCR1 right"	"SNpygM"	0
"11653"	"eyespot-PRCR1 left"	"INR1"	8
"11654"	"eyespot-PRCR1 right"	"INR1"	7
"11655"	"eyespot-PRCR1 left"	"SN-DLSO1.1NP"	3
"11656"	"eyespot-PRCR1 right"	"SN-DLSO1.1NP"	5
"11657"	"eyespot-PRCR1 left"	"SN-DLSO1.1"	0
"11658"	"eyespot-PRCR1 right"	"SN-DLSO1.1"	0
"11659"	"eyespot-PRCR1 left"	"INmus"	0
"11660"	"eyespot-PRCR1 right"	"INmus"	0
"11661"	"eyespot-PRCR1 left"	"INdescLuqinPDF"	0
"11662"	"eyespot-PRCR1 right"	"INdescLuqinPDF"	0
"11663"	"eyespot-PRCR1 left"	"INcosplit"	0
"11664"	"eyespot-PRCR1 right"	"INcosplit"	0
"11665"	"eyespot-PRCR1 left"	"INcommdescFVa"	0
"11666"	"eyespot-PRCR1 right"	"INcommdescFVa"	0
"11667"	"eyespot-PRCR1 left"	"MNheadV"	0
