	pns1	pns10	pns11	pns12	pns13	pns14	pns2	pns3	pns4	pns5	pns6	pns7	pns9	ATEN1	ATEN2	ATEN3	ATEN4	pna	pnb	pnc	pnf	pnh	pnu	pnx	coronet1	coronet11	coronet12	coronet14	coronet16	coronet2	coronet3	coronet4	coronet6	coronet7	coronet8	coronet9	pr1	pr10	pr11	pr12	pr13	pr14	pr15	pr16	pr17	pr18	pr19	pr2	pr20	pr21	pr22	pr23	pr3	pr4	pr5	pr6	pr7	pr8	pr9	pra	prb	prc	prd	pre	prf	prg	lens7	101	110	113	114	107	Ant1	Ant2	4	6	20	25	29	30	61	160	162	163	164	177	181	vacIN1	trIN	1	2	15	23	38	55	59	60	62	65	68	70	73	78	79	ukn	ukn2	3	13	17	18	21	22	24	33	41	42	43	46	48	50	85	88	16	57	138	90	92	aaIN1	aaIN2	aaIN3	5	35	131	Em1	Em2	74	94	108	116	123	124	127	130	140	157	80	86	96	100	126	121	105	112	119	120	134	135	142	143	147	152	153	159	161	93	106	122	125	103	NeckNL	NeckNR	AMG1	AMG2	AMG3	AMG4	AMG5	AMG6	AMG7	ddNL	ddNR	MGIN1L	MGIN1R	MGIN2L	MGIN2R	MGIN3L	MGIN3R	MN1L	MN1R	MN2L	MN2R	MN3L	MN3R	MN4L	MN4R	MN5L	MN5R	ACIN1L	ACIN2L	ACIN2R	PMGN1	PMGN2	midtail1	midtail2	midtail4	midtail7	BTN1	BTN2	BTN3	BTN4	mul	mulm	mur	murm	bm	bm-noto
143																																																					0.06				0.24																0.24	0.06															0.12			0.06												0.12																								0.06	0.06	0.06				0.18			0.06			0.06		0.12	0.54			0.06	0.18			0.06		0.06				1.02		1.44		0.36	0.66	0.48	0.12	0.06		0.24															1.5	0.42	1.92	0.72																															
147																																																																									0.72																0.24																																									0.12										0.66					0.06		0.42	1.08	0.18	0.36		0.12			0.48	0.6	0.24	0.78	0.18		0.18		0.12	1.26		0.18	0.06	0.12			0.12										0.3	1.5	0.06	2.7						0.12		1.2																							
152																																								0.24																																	0.24																															0.12																														0.24		0.06	0.06			0.12			0.48			0.24	0.12		1.02	0.06	0.78	0.48		0.54	1.08	0.54		0.3	1.14	0.84	0.06	0.3	0.36	1.02		0.12	0.12														0.48		3.9	1.62			0.06				0.66																							0.18	
153																												0.12																	0.06																																						0.06						0.12												0.06			0.12																																											0.06			0.18					1.68	0.3	0.06	1.26	0.06		0.06		0.18																		0.6	2.52		1.32																															
159																																																																																	0.48		0.06																				0.12																										0.12				0.12										0.18			0.6	0.24			0.24					0.66	0.12	0.9	0.36		0.06	0.12	0.72		0.18			0.12	0.42													0.78	1.38		0.6				0.12																		0.12									
161																																																																									0.18																0.12																																								0.06	0.36										1.14			0.48		0.06			1.56	0.36		0.06				0.18		0.18	0.18	0.36	0.06	0.06	0.06	0.06		0.12																0.18	0.54		4.08						0.3		0.78																							
103																0.12																													0.6			0.12	0.18																									0.3	0.18				0.06				0.18												0.06													0.06																									0.06		0.12	0.18		0.42	0.42	0.12		0.3		0.18		0.84		0.42		0.36	0.54		0.3				0.12								0.18	0.54	0.12	0.42					0.3			0.18					1.2																									0.06	0.06								
93																																																																										0.18																											0.12							0.06																									0.06							0.06			1.32			0.18		0.6			0.84	2.16		0.06	0.06		0.12	0.3					0.6	0.24		0.36	0.18	0.06	0.66																						0.42																								
106																																																																																	0.12																																																				0.36										0.12	0.36		0.24		0.3		0.42	0.54	0.24	0.24	0.78	0.24	0.12		0.36	0.3	0.06	0.48		0.18	0.06	0.78		0.24	0.12	0.42												0.54	1.62	0.36	0.18																															
122																																																																																	0.18	0.18	0.06																		0.06															0.12																	0.54			0.18	0.24				0.18	0.24		0.24						0.06	0.12					0.12	0.6	0.06	0.36		0.06	0.18	0.12		0.06	0.6		0.96	0.24			0.12										1.5																																	
125																																																																																	0.12																																																													0.18	0.12			0.3	0.18			0.78					0.3	0.48	1.08		0.12	0.18	0.36	0.12	0.36			0.06	0.36		0.06												0.18	1.56		0.6				0.3																											
NeckNL																																																																																																																																																																																																																0.06						0.48	
NeckNR																																																																																																																																					0.06		0.06						0.06				0.06																													0.18	0.06	0.12																																						0.66	
AMG1																																																																																																																																					0.54		0.24		0.18				0.84	0.3			0.54																									0.06			0.36	0.12	0.24	0.42	2.34	0.24						0.96				0.3																										0.42	
AMG2																				0.12																																																																																																																	0.3	0.54		0.72					0.96																													0.66		2.82		0.6	0.72	0.18	1.08	0.78	0.18	0.24		0.48		0.48				1.56																		0.18	0.42	0.06	0.24						
AMG3																																																																																																																																						0.48	0.9										0.42																											1.62	1.38		0.96	2.88	1.02	0.24			0.06						0.96																			0.36	0.42	0.24	0.06					2.52	
AMG4																																																																																																																																						0.66			0.48																																	0.54	0.3		1.56	1.92		0.36	0.3		1.2	1.86							1.62	0.66			0.24															0.12			0.12					0.66	
AMG5			0.18															0.96	0.84	1.92	0.18																																																																																																																	0.66	0.6				0.12		0.06			0.06	0.18																									1.32		1.2		0.3	0.78	1.38	0.78	0.24		0.72							1.62	0.66																		0.42	0.06	1.26	0.54					0.84	
AMG6																																																																																																																																					0.6	0.72		0.78	0.78	0.3	0.42		0.36	0.48			0.96																									0.18		0.54	0.96	1.08		2.4								0.18																							0.24	0.12	0.12					1.02	
AMG7																																																																																							0.12																																														0.06		0.18	0.12					0.3	0.18		0.18	0.6												0.36										0.42						1.2		0.36	0.24	0.18		0.12		0.18	0.18					0.84																					0.18	0.06					0.54	
ddNL																																																																																																																																							0.36				0.3						0.06																									0.24				0.3	0.84					0.18		0.54				1.5	0.24	1.02		2.76				0.66		0.66				1.14		0.07		1.33			1.05		2.44					2.83	
ddNR																																																																																																																																							0.24																																						0.18		0.12						0.84	0.12	1.3		3.48		0.9		3.42		0.6						0.72						0.49		0.14	3.6		3.54						3.33	
MGIN1L																																																																																																																																						0.54	0.24				0.18	0.06		0.12	0.24		0.12	0.18	0.06		0.18		0.48					0.06		0.48	0.12	0.12	0.06		0.12						0.06								0.18		0.06	0.6		0.3	3.48		1.2		0.42				0.6				0.36		0.6	0.78								0.06		0.66						3.12	
MGIN1R																																																																																																																																						0.3	0.06		0.12		0.12			0.12		0.6	0.12		0.06								0.36					0.12		0.12	0.12			0.18	0.12	0.48											0.36		0.12			0.3		1.38		1.08				1.32				0.3			0.54								2.76		3					1.22	0.06
MGIN2L																																																																																																																																																			0.12	0.78													0.06					0.06														4.74	1.15				0.42		0.36		1.24		0.6		0.42		0.66		0.72	1.62					2.45			2.16		3.62						1.61	
MGIN2R																																																																																																																																																						0.06					0.06					0.06	0.06	0.06		0.06										0.06					2.63			0.72				0.3		0.48		4.69				0.72		0.6			0.18	0.18		0.49		1.05			1.47		3.58					4.19	
MGIN3L																																																																																																																																							0.54																																													1.86	1.32		1.14				0.72		0.18																			0.06						6.96	
MGIN3R																																																																																																																																							0.18																																	0.06											1.14			1.32		1.74				1.2		0.12								0.12									0.36							7.62	0.12
MN1L																																																																																																																																						0.24	0.18				0.12					0.06																																0.24		0.24		0.6	0.3		0.12		0.6		0.12	0.12	1.2				0.06		0.36		0.66									0.72		0.54		56.403	8.4			0.36	2.76
MN1R																																																																																																											0.18																											0.72	0.36				0.06						0.06															0.06			0.18										0.06	0.12	0.54			0.12	0.66			0.66		0.42			0.06			0.6				0.36		0.36				0.36							1.5	0.06	1.38			68.04	33.66	0.12	1.86
MN2L																																																																																																																																						0.14																																														0.42			1.08								0.3		0.66		0.54			0.18					0.28			0.39	0.06	2.99		114.33				3.01	
MN2R																																																																																																																																															0.12																																				2.41		0.12		0.3	1.92		0.06		0.06					0.24	0.78		0.36	0.12	0.3	0.84	3.27	0.06	0.07					1.65		0.2	9.3		108.391		0.25	
MN3L																																																																																																																																															0.12																																						0.12		0.3										0.24				0.12	0.3												9.3					
MN3R																																																																																																																																																																0.12																						0.18		0.18				0.18		1.14				0.96						0.18	0.42						0.18					6.12			
MN4L																																																																																																																																												0.12												0.12																												0.36			1.56				0.06		0.48		0.18				0.06											0.06		0.12		10.86				2.4	
MN4R																																																																																																																																																																																								0.3						1.02		0.36				0.12					0.18						0.12		0.06			6.9		1.56	
MN5L																																																																																																																																																																																													0.78		0.12		0.06																	7.38					
MN5R																																																																																																																																																																																			2.22			0.48								0.06		0.06		0.18						0.9												3.3		3.36	
ACIN1L																																																																																																																																																																																				0.42	0.18	1.56	0.12			0.24			0.12																		0.12							3.42	
ACIN2L																																																																																																																																																																																					0.36	2.52	0.18	0.6		0.12			0.06		0.12		0.12														0.6							3.06	
ACIN2R																																																																																																																																																																																								0.12						0.54		0.18															0.12							1.5	
PMGN1																																																																																																																																																																																			0.66			0.18		0.6				0.3		0.97						1.14						0.21					0.69							8.54	
PMGN2																																																																																																																																																																																																0.06		0.36																					
midtail1																																																																																																																																																																																														0.14														0.14			0.28							1.19	
midtail2																																																																																																																																																																																				0.49			0.42						0.35																									1.05	
midtail4																																																																																																																																																																																			1.68					0.07																														0.7	
BTN1			0.06					0.06				0.06																																																																	0.12					0.66		0.12	0.06																																																3.42	2.16	0.96								0.12	0.18	1.02							0.06									0.06			0.06									0.3	0.9	0.06				0.6	0.44	1.26	0.36	2.5				8.04	0.84	3.17		0.18		0.54		0.18											0.18	0.84	1.75						0.91	
BTN2	0.06		0.06	0.06																																																																							0.12	0.06	0.18		0.48	0.54	0.12	1.5	0.42	0.54	0.84														0.24																																		1.26	0.72	1.14						0.24			0.06	1.5																											1.14	1.32	1.38		0.84	1.44		2.36		0.24	2.64		0.81		0.36		5.64		5.98				0.3					0.18	1		0.77		0.35		0.9		0.24	1.61						
BTN3																																																								0.06																													2.04																																									0.06			0.06					0.18	0.36			0.06		1.62			0.12																		0.06												0.24		0.18	0.9	0.24			1.09	0.78	0.12	1.69				5.28	0.24	1.96														0.35			1.64			0.06					0.42	
BTN4																																																																											0.06	0.3				0.12	0.12		0.18		0.24																																																	0.42		0.12			0.3		0.06																																0.18	0.18		0.48	0.84	0.24	3.23		0.42	1.44		6.2		0.06		3.3		4.73		0.06		0.12		0.18			0.36	0.3		0.07		0.07			2.84	0.06	0.12						
