"names"	"postsyn_class"	"num_occurrences"	"presyn_color"	"num_class_target"
"102"	"INrope_l1"	"MN"	197	"#CC79A7"	119
"103"	"INrope_l1"	"IN"	197	"#CC79A7"	66
"104"	"INrope_l1"	"IN"	197	"#CC79A7"	66
"105"	"INrope_l1"	"IN"	197	"#CC79A7"	66
"106"	"INrope_l1"	"MN"	197	"#CC79A7"	119
"107"	"INrope_l1"	"MN"	197	"#CC79A7"	119
"108"	"INrope_l1"	"SN"	197	"#CC79A7"	7
"109"	"INrope_l1"	"n.a."	197	"#CC79A7"	5
"110"	"INrope_l1"	"MN"	197	"#CC79A7"	119
"111"	"INrope_l1"	"IN"	197	"#CC79A7"	66
"112"	"INrope_l1"	"IN"	197	"#CC79A7"	66
"113"	"INrope_l1"	"MN"	197	"#CC79A7"	119
"114"	"INrope_l1"	"MN"	197	"#CC79A7"	119
"115"	"INrope_l1"	"MN"	197	"#CC79A7"	119
"116"	"INrope_l1"	"MN"	197	"#CC79A7"	119
"117"	"INrope_l1"	"MN"	197	"#CC79A7"	119
"118"	"INrope_l1"	"MN"	197	"#CC79A7"	119
"119"	"INrope_l1"	"MN"	197	"#CC79A7"	119
"120"	"INrope_l1"	"MN"	197	"#CC79A7"	119
"121"	"INrope_l1"	"MN"	197	"#CC79A7"	119
"122"	"INrope_l1"	"MN"	197	"#CC79A7"	119
"123"	"INrope_l1"	"MN"	197	"#CC79A7"	119
"124"	"INrope_l1"	"MN"	197	"#CC79A7"	119
"125"	"INrope_l1"	"MN"	197	"#CC79A7"	119
"126"	"INrope_l1"	"MN"	197	"#CC79A7"	119
"127"	"INrope_l1"	"IN"	197	"#CC79A7"	66
"128"	"INrope_l1"	"IN"	197	"#CC79A7"	66
"129"	"INrope_l1"	"IN"	197	"#CC79A7"	66
"130"	"INrope_l1"	"IN"	197	"#CC79A7"	66
"131"	"INrope_l1"	"IN"	197	"#CC79A7"	66
"132"	"INrope_l1"	"MN"	197	"#CC79A7"	119
"133"	"INrope_l1"	"IN"	197	"#CC79A7"	66
"134"	"INrope_l1"	"MN"	197	"#CC79A7"	119
"135"	"INrope_l1"	"MN"	197	"#CC79A7"	119
"136"	"INrope_l1"	"MN"	197	"#CC79A7"	119
"137"	"INrope_l1"	"MN"	197	"#CC79A7"	119
"138"	"INrope_l1"	"MN"	197	"#CC79A7"	119
"139"	"INrope_l1"	"MN"	197	"#CC79A7"	119
"140"	"INrope_l1"	"MN"	197	"#CC79A7"	119
"141"	"INrope_l1"	"MN"	197	"#CC79A7"	119
"142"	"INrope_l1"	"MN"	197	"#CC79A7"	119
"143"	"INrope_l1"	"MN"	197	"#CC79A7"	119
"144"	"INrope_l1"	"IN"	197	"#CC79A7"	66
"145"	"INrope_l1"	"IN"	197	"#CC79A7"	66
"146"	"INrope_l1"	"IN"	197	"#CC79A7"	66
"147"	"INrope_l1"	"MN"	197	"#CC79A7"	119
"148"	"INrope_l1"	"MN"	197	"#CC79A7"	119
"149"	"INrope_l1"	"MN"	197	"#CC79A7"	119
"150"	"INrope_l1"	"IN"	197	"#CC79A7"	66
