"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"SNhook",3,3,2.71368948247078,2.28631051752922,2,2,2,2,2,2.28631051752922,2.71368948247078,3,3,3.28631051752921,3.42737896494157,3.85893155258765,3.56844741235392,2.85893155258765,2.28631051752922,3,4.85893155258765,5.99582637729549,5.85893155258765,5.28631051752922,5.42737896494157,5.85893155258765,4.99582637729549,3.14524207011686,1.28631051752922,1,1,0.713689482470785,0.286310517529215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SNlasso",2.88022772768143,3.28631051752922,3.14106844741235,2.57262103505843,2,2,2,2,2,2,2,2.28631051752922,2.42737896494157,2.28631051752922,2.28631051752922,3.85893155258765,4.99582637729549,5.43155258764608,5.14106844741235,5,3.71368948247078,2.28631051752922,1.28631051752922,1.28631051752922,1.71368948247078,1.71368948247079,1.57262103505843,2,2.14106844741236,2.71786310517529,3.85475792988314,6.14524207011686,7.28213689482471,6.42737896494157,3.85893155258765,2.00000000000001,1.28631051752922,1,1.28631051752922,1.71368948247078,2.28631051752922,2.42737896494157,2,1.85893155258765,2.14106844741235,2.28631051752922,1.42737896494157,0.572621035058431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SNtorii",2.23954454463713,2.42737896494157,2.28631051752922,2,2,2,2,2,2,2,2,2.28631051752922,3,2.85475792988314,2.14524207011686,1.42737896494157,1.28631051752922,1,1.28631051752922,1.71368948247078,1.71368948247078,1.57262103505843,1.42737896494157,1.28631051752922,1,1.28631051752921,1.71368948247078,1.71368948247078,1.57262103505843,1.42737896494157,1.57262103505843,1.71368948247078,1.71368948247078,1.57262103505843,2,2.71368948247078,2.71368948247078,2,1.28631051752922,1,1.57262103505843,2.14106844741235,2.28631051752922,1.71368948247078,1.28631051752922,1,1,1,2.43155258764608,3.99582637729549,4.00000000000001,2,0.572621035058438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SN_NS1",1.88022772768143,2.28631051752922,2.42737896494157,2.28631051752922,2,2,2.57262103505843,3.14106844741235,3.28631051752922,3,3,3,2.71368948247078,2.28631051752922,2,2.28631051752922,2.42737896494157,2.28631051752922,2,2.28631051752922,2.42737896494157,2.57262103505843,3,3.42737896494157,3.28631051752922,5.29048414023371,7.56427378964942,12.7262103505843,15.2696160267112,15.4357262103506,13.8589315525876,12.1327212020033,8.00834724540902,4.42737896494157,3.71368948247078,2.00000000000001,0.572621035058431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SN_NS17",2.11977227231857,2.71368948247078,2.71368948247078,2.28631051752922,2,2,2.28631051752922,2.42737896494157,2.28631051752922,2,2,2,2,2,2.28631051752922,2.42737896494157,2.57262103505843,2.42737896494157,2.28631051752922,2,2.28631051752922,2.42737896494157,2.28631051752922,2.28631051752922,2.42737896494157,2.28631051752922,2.28631051752922,2.71368948247078,3,3.85893155258765,7.71786310517529,12.1368948247078,14,12.1410684474124,9.28631051752922,5.4273789649416,2.14524207011686,0.286310517529215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SN_NS18",3.11977227231857,2.71368948247078,2.28631051752922,2,2,2,2,2,2,2,2.28631051752922,2.42737896494157,2.28631051752922,2,2.57262103505843,2.56844741235392,1.85893155258765,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.28631051752921,2,3,5.43155258764608,7.42320534223706,7.57262103505843,6,5.57262103505843,6.85893155258765,9.14106844741235,11,12.5726210350584,11.8505843071786,8.43155258764608,4.28631051752922,2.00000000000001,0.572621035058431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SN_NS19",2.23954454463713,2.42737896494157,2.28631051752922,2,2,2,2,2,2,2,2,1.71368948247078,1.28631051752922,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.57262103505843,1.85475792988314,1.57262103505843,1,1,1,1,1,1,1.57262103505843,2.42737896494157,3.57262103505843,5,8.43155258764608,9.99165275459099,9.86310517529215,7.99582637729549,6.85893155258765,5,4,3.85893155258765,4.42737896494156,5.57262103505843,4.42320534223708,2.00417362270451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SN_NS27",2.3593168169557,3.14106844741235,3,2.57262103505843,2.42737896494157,2.28631051752922,2,2,2,2.28631051752922,3,4.28631051752922,4.56844741235392,3.57262103505843,2.28631051752922,2.28631051752922,2.71368948247078,3.28631051752922,3.42737896494157,3,2.28631051752922,2,2,1.71368948247078,1.28631051752922,1,1,1,1,1,1,1.28631051752922,2.28631051752922,3.42737896494157,3.42737896494157,3.43155258764607,5.85893155258765,10.1410684474124,14.2863105175292,13.991652754591,10.2904841402337,6,4.57262103505843,3.71368948247078,2.42737896494157,0.858931552587646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"INMBtype1",3.11977227231857,2.71368948247078,2.28631051752922,2,2.28631051752922,2.42737896494157,2.28631051752922,2,2,1.71368948247078,1.28631051752922,1,1,1.28631051752921,1.42737896494157,1.28631051752922,1.28631051752922,1.71368948247078,1.71368948247078,1.28631051752922,1,1,1,1,1,1,1,1.28631051752922,1.71368948247078,2,2.28631051752922,2.42737896494157,2,1.28631051752922,1,1,1,1,1,1,1.57262103505843,2.14106844741235,2,1.28631051752922,1,0.713689482470785,0.286310517529215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"INMBtype2",2.11977227231857,1.71368948247078,1.28631051752922,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.57262103505843,2.14106844741235,2.28631051752922,1.71368948247078,1.28631051752922,1,1,1.28631051752922,1.42737896494157,1.28631051752922,1,1.28631051752921,1.42737896494157,1.28631051752922,1,1.57262103505843,2.42737896494157,2.71368948247078,2.00000000000001,1.28631051752922,1,1,1,1.28631051752922,1.71368948247078,1.71368948247078,1.28631051752922,1,1,1.28631051752922,1.71368948247078,2.57262103505843,2.85475792988314,2.00000000000001,0.572621035058431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
