"annotation1"	"annotation2"	"number"
"138"	"segment_0"	"ipsilateral"	83
"139"	"segment_0"	"contralateral"	0
"140"	"segment_0"	"pseudounipolar"	3
"141"	"segment_0"	"descending"	2
"142"	"segment_0"	"ascending"	10
"143"	"segment_0"	"global_reach"	0
"144"	"segment_0"	"head_trunk"	7
"145"	"segment_0"	"siGOLD"	0
"146"	"segment_0"	"glutamatergic"	4
"147"	"segment_0"	"serotonergic"	0
"148"	"segment_0"	"cholinergic"	0
"149"	"segment_0"	"adrenergic"	0
"150"	"segment_0"	"dopaminergic"	0
"151"	"segment_1"	"ectoderm"	1153
"152"	"segment_1"	"episphere"	0
"153"	"segment_1"	"segment_0"	0
"154"	"segment_1"	"segment_1"	1472
"155"	"segment_1"	"segment_2"	0
"156"	"segment_1"	"segment_3"	0
"157"	"segment_1"	"torso"	1472
"158"	"segment_1"	"pygidium"	0
"159"	"segment_1"	"neurosecretory_plexus"	0
"160"	"segment_1"	"mushroom body"	0
"161"	"segment_1"	"Apical_organ"	0
"162"	"segment_1"	"Dorsal_sensory_organ"	0
"163"	"segment_1"	"Dorsolateral_sense_organs"	0
"164"	"segment_1"	"antenna"	0
"165"	"segment_1"	"eyespot"	0
"166"	"segment_1"	"mechanosensory_girdle"	62
"167"	"segment_1"	"nuchal organ"	0
"168"	"segment_1"	"Sensory neuron"	47
"169"	"segment_1"	"sensory_motor_neuron"	1
"170"	"segment_1"	"sensory_neurosecretory_neuron"	0
"171"	"segment_1"	"interneuron"	224
"172"	"segment_1"	"premotor"	40
"173"	"segment_1"	"motorneuron"	64
"174"	"segment_1"	"ciliomotors"	4
"175"	"segment_1"	"rhabdomeric photoreceptor"	0
"176"	"segment_1"	"ciliary photoreceptor"	0
"177"	"segment_1"	"sensory_cilia"	61
"178"	"segment_1"	"Uniciliated_penetrating_cell"	47
"179"	"segment_1"	"Biciliated_penetrating_cell"	10
"180"	"segment_1"	"Uniciliated_nonpenetrating_cell"	1
"181"	"segment_1"	"Biciliated_nonpenetrating_cell"	1
"182"	"segment_1"	"Multiciliated_penetrating_cell"	2
"183"	"segment_1"	"dense cored vesicles"	51
"184"	"segment_1"	"asymmetric neuron"	0
"185"	"segment_1"	"biaxonal"	6
"186"	"segment_1"	"decussating"	0
"187"	"segment_1"	"commissural"	121
"188"	"segment_1"	"ipsilateral"	149
"189"	"segment_1"	"contralateral"	121
"190"	"segment_1"	"pseudounipolar"	51
"191"	"segment_1"	"descending"	73
"192"	"segment_1"	"ascending"	67
"193"	"segment_1"	"global_reach"	12
"194"	"segment_1"	"head_trunk"	48
"195"	"segment_1"	"siGOLD"	20
"196"	"segment_1"	"glutamatergic"	3
"197"	"segment_1"	"serotonergic"	2
"198"	"segment_1"	"cholinergic"	5
"199"	"segment_1"	"adrenergic"	0
"200"	"segment_1"	"dopaminergic"	0
"201"	"segment_2"	"ectoderm"	1331
"202"	"segment_2"	"episphere"	0
"203"	"segment_2"	"segment_0"	0
"204"	"segment_2"	"segment_1"	0
"205"	"segment_2"	"segment_2"	1748
"206"	"segment_2"	"segment_3"	0
"207"	"segment_2"	"torso"	1748
"208"	"segment_2"	"pygidium"	0
"209"	"segment_2"	"neurosecretory_plexus"	0
"210"	"segment_2"	"mushroom body"	0
"211"	"segment_2"	"Apical_organ"	0
"212"	"segment_2"	"Dorsal_sensory_organ"	0
"213"	"segment_2"	"Dorsolateral_sense_organs"	0
"214"	"segment_2"	"antenna"	0
"215"	"segment_2"	"eyespot"	0
"216"	"segment_2"	"mechanosensory_girdle"	82
"217"	"segment_2"	"nuchal organ"	0
"218"	"segment_2"	"Sensory neuron"	67
"219"	"segment_2"	"sensory_motor_neuron"	2
"220"	"segment_2"	"sensory_neurosecretory_neuron"	0
"221"	"segment_2"	"interneuron"	256
"222"	"segment_2"	"premotor"	60
"223"	"segment_2"	"motorneuron"	88
"224"	"segment_2"	"ciliomotors"	0
"225"	"segment_2"	"rhabdomeric photoreceptor"	0
"226"	"segment_2"	"ciliary photoreceptor"	0
"227"	"segment_2"	"sensory_cilia"	50
"228"	"segment_2"	"Uniciliated_penetrating_cell"	31
"229"	"segment_2"	"Biciliated_penetrating_cell"	15
"230"	"segment_2"	"Uniciliated_nonpenetrating_cell"	2
"231"	"segment_2"	"Biciliated_nonpenetrating_cell"	0
"232"	"segment_2"	"Multiciliated_penetrating_cell"	2
"233"	"segment_2"	"dense cored vesicles"	54
"234"	"segment_2"	"asymmetric neuron"	0
"235"	"segment_2"	"biaxonal"	2
"236"	"segment_2"	"decussating"	0
"237"	"segment_2"	"commissural"	184
"238"	"segment_2"	"ipsilateral"	184
"239"	"segment_2"	"contralateral"	184
"240"	"segment_2"	"pseudounipolar"	69
"241"	"segment_2"	"descending"	49
"242"	"segment_2"	"ascending"	104
"243"	"segment_2"	"global_reach"	0
"244"	"segment_2"	"head_trunk"	4
"245"	"segment_2"	"siGOLD"	23
"246"	"segment_2"	"glutamatergic"	2
"247"	"segment_2"	"serotonergic"	0
"248"	"segment_2"	"cholinergic"	0
"249"	"segment_2"	"adrenergic"	0
"250"	"segment_2"	"dopaminergic"	0
"251"	"segment_3"	"ectoderm"	1184
