"skid"	"partner"	"syn.count"	"num_nodes"	"connection_type"	"skeleton"
"103"	1504562	954910	15	3156	"postsynapse"	"with_soma"
"104"	34044	58694	14	1168	"postsynapse"	"with_soma"
"105"	22159	19515	14	933	"postsynapse"	"with_soma"
"106"	34044	14162	14	857	"postsynapse"	"with_soma"
"107"	113999	1292427	14	3751	"postsynapse"	"with_soma"
"108"	575787	1294986	14	18778	"postsynapse"	"with_soma"
"109"	608173	1280027	14	19315	"postsynapse"	"with_soma"
"110"	992125	1280027	14	19315	"postsynapse"	"with_soma"
"111"	1462261	1274799	14	22170	"postsynapse"	"with_soma"
"112"	1737105	64258	14	3479	"postsynapse"	"with_soma"
"113"	575853	826675	14	6056	"postsynapse"	"with_soma"
"114"	1282984	1277759	14	12205	"postsynapse"	"with_soma"
"115"	1166300	1321475	14	1358	"postsynapse"	"with_soma"
"116"	1509512	1482574	14	2648	"postsynapse"	"with_soma"
"117"	1504505	1395556	14	4771	"postsynapse"	"with_soma"
"118"	1204589	1355372	14	11235	"postsynapse"	"with_soma"
"119"	246584	313716	14	2243	"postsynapse"	"with_soma"
"120"	1306584	837942	14	1725	"postsynapse"	"with_soma"
"121"	1365232	1312731	14	2568	"postsynapse"	"with_soma"
"122"	1649437	1348484	14	3683	"postsynapse"	"with_soma"
"123"	1739384	1829164	14	3151	"postsynapse"	"with_soma"
"124"	1626051	1460772	14	1959	"postsynapse"	"with_soma"
"125"	54090	1345703	13	1594	"postsynapse"	"with_soma"
"126"	1302189	85530	13	7209	"postsynapse"	"with_soma"
"127"	578783	1294986	13	18778	"postsynapse"	"with_soma"
"128"	992374	1294986	13	18778	"postsynapse"	"with_soma"
"129"	1340899	113999	13	9176	"postsynapse"	"with_soma"
"130"	1613646	153151	13	2296	"postsynapse"	"with_soma"
"131"	1328001	1280027	13	19315	"postsynapse"	"with_soma"
"132"	1292427	295849	13	4879	"postsynapse"	"with_soma"
"133"	207330	1298426	13	21841	"postsynapse"	"with_soma"
