"x"
"1"	23
"2"	37
"3"	8
"4"	40
"5"	5
"6"	17
"7"	2
"8"	2
"9"	39
"10"	129
"11"	26
"12"	47
"13"	9
"14"	47
"15"	92
"16"	28
"17"	9
"18"	2
"19"	35
"20"	2
"21"	2
"22"	7
"23"	32
"24"	8
"25"	28
"26"	71
"27"	24
"28"	114
"29"	6
"30"	100
"31"	29
"32"	36
"33"	24
"34"	10
"35"	81
"36"	201
"37"	13
"38"	2
"39"	2
"40"	2
"41"	4
"42"	2
"43"	2
"44"	4
"45"	2
"46"	2
"47"	2
"48"	2
"49"	2
"50"	2
"51"	2
"52"	2
"53"	9
"54"	2
"55"	2
"56"	13
"57"	2
"58"	2
"59"	2
"60"	11
"61"	2
"62"	2
"63"	2
"64"	2
"65"	2
"66"	2
"67"	2
"68"	2
"69"	500
"70"	2
"71"	17
"72"	9
"73"	1
"74"	19
"75"	1
"76"	1
"77"	1
"78"	1
"79"	1
"80"	15
"81"	2
"82"	2
"83"	1
"84"	1
"85"	1
"86"	1
"87"	1
"88"	1
"89"	1
"90"	1
"91"	1
"92"	1
"93"	1
"94"	1
"95"	1
"96"	1
"97"	1
"98"	1
"99"	1
"100"	1
"101"	7
"102"	1
"103"	2
"104"	2
"105"	1
"106"	1
"107"	1
"108"	2
"109"	2
"110"	2
"111"	2
"112"	2
"113"	2
"114"	2
"115"	17
"116"	2
"117"	2
"118"	2
"119"	1
"120"	1
"121"	2
"122"	11
"123"	24
"124"	11
"125"	15
"126"	160
"127"	15
"128"	8
"129"	12
"130"	6
"131"	138
"132"	53
"133"	24
"134"	26
"135"	90
"136"	76
"137"	29
"138"	77
"139"	32
"140"	208
"141"	28
"142"	13
"143"	788
"144"	2
"145"	13
"146"	57
"147"	21
"148"	1831
"149"	13
"150"	17
"151"	8
"152"	18
"153"	76
"154"	160
"155"	22
"156"	54
"157"	12
"158"	48
"159"	120
"160"	20
"161"	13
"162"	187
"163"	364
"164"	58
"165"	1300
"166"	60
"167"	1133
"168"	23
"169"	21
"170"	10
"171"	9
"172"	7
"173"	71
"174"	11
"175"	11
"176"	11
"177"	28
"178"	32
"179"	24
"180"	9
"181"	10
"182"	38
"183"	12
"184"	29
"185"	31
"186"	10
"187"	24
"188"	7
"189"	47
